wall_time_s,timesteps,episode,variant,seed,return,length_steps,elapsed_s,success,collision,outside_route_bounds,termination_reason,final_goal_distance_m,minimum_true_cpa_m,final_track_count,reward_progress,reward_collision,reward_proximity,reward_jitter,reward_effort,reward_goal
24.108684062957764,361,1,abl_blind,7319,-7.708717918124951,361,1804.999999998906,0,0,0,timeout,1062.7367866379425,74.42167090639478,2,-0.32631027066114426,0.0,0.0,7.193981682462616,0.18842596500118902,0.0
27.95201086997986,421,2,abl_blind,420001,-112.21207861797996,60,299.5000000000338,0,1,0,collision,278.6265243658723,1.9734856921233188,1,0.06493063803329215,100.0,11.08678375330375,1.1624022662639617,0.027823236445546646,0.0
43.716635942459106,676,3,abl_blind,420002,-6.088673993389611,255,1274.9999999993881,0,0,1,outside_route_bounds,910.4532261577103,118.03539539983757,1,-0.2504546786426712,0.0,0.0,5.707066310942171,0.13115300380476794,0.0
61.952597856521606,980,4,abl_blind,420003,-6.257644743841662,304,1519.9999999991653,0,0,1,outside_route_bounds,555.558863840565,76.50655540100809,1,-0.0810621785621531,0.0,0.0,6.043716563191262,0.1328660020882441,0.0
81.52257204055786,1301,5,abl_blind,420004,-6.660553078618007,321,1604.999999999088,0,0,1,outside_route_bounds,946.7212380724918,111.19989592407453,1,-0.27289542800753486,0.0,0.0,6.228413683664983,0.15924396694548779,0.0
103.39636397361755,1662,6,abl_blind,420005,-7.5824386659772625,361,1804.999999998906,0,0,0,timeout,458.1284009584844,54.499146375401025,1,-0.028065288808711803,0.0,0.0,7.343835341371599,0.2105380357969564,0.0
119.76393294334412,1914,7,abl_blind,420006,-5.412347012087301,252,1259.9999999994018,0,0,1,outside_route_bounds,731.9387256601474,109.60942721811955,1,-0.16575693405425737,0.0,0.0,5.130867527239022,0.11572255079401571,0.0
142.94788193702698,2275,8,abl_blind,420007,-7.986757558963061,361,1804.999999998906,0,0,0,timeout,560.3617941575025,80.25260899890297,1,-0.07875111156103791,0.0,0.0,7.68457374693826,0.22343270046376698,0.0
162.12938284873962,2549,9,abl_blind,420008,-6.128693375920933,274,1369.9999999993017,0,0,1,outside_route_bounds,758.9526208106332,119.11575641064806,1,-0.1754073615031025,0.0,0.0,5.810489529790358,0.1427964846274741,0.0
178.42916297912598,2802,10,abl_blind,420009,-5.620767414651817,253,1264.9999999993972,0,0,1,outside_route_bounds,982.7423962756167,97.45161213710816,2,-0.29175815832572427,0.0,0.0,5.218777136504648,0.11023211982144605,0.0
198.85607194900513,3121,11,abl_blind,420010,-6.674847204301547,319,1594.999999999097,0,0,1,outside_route_bounds,567.1902908574416,87.0797940341465,1,-0.08645380702297364,0.0,0.0,6.437614797800782,0.1507785994777978,0.0
220.37674498558044,3482,12,abl_blind,420011,-7.045984002919602,361,1804.999999998906,0,0,0,timeout,935.4107269972151,105.50403042287974,1,-0.26353244773953033,0.0,0.0,6.641967360489066,0.1404841946909969,0.0
238.8391978740692,3788,13,abl_blind,420012,-6.804029287998144,306,1529.9999999991562,0,0,1,outside_route_bounds,1098.8384289905864,104.26245801924412,3,-0.34708502931825247,0.0,0.0,6.311163908243174,0.14578035043671422,0.0
259.9963388442993,4149,14,abl_blind,420013,-13.085319866595382,361,1804.999999998906,0,0,0,timeout,454.7379235349673,16.474903640913862,1,-0.02277840885912951,0.0,5.8342630669464945,7.070985824894159,0.1572925658955877,0.0
263.5615520477295,4211,15,abl_blind,420014,-119.49650322891813,62,307.10000000003555,0,1,0,collision,268.72675155922207,1.9952664785489063,1,0.06571386887631149,100.0,18.607773806298493,0.9209864929318432,0.033456798564102275,0.0
280.75278401374817,4495,16,abl_blind,420015,-6.035990595788436,284,1419.9999999992563,0,0,1,outside_route_bounds,731.2497304095428,105.33354824724825,1,-0.1664069988969216,0.0,0.0,5.734303407743573,0.13528018914794,0.0
300.04922580718994,4812,17,abl_blind,420016,-7.244551369790968,317,1584.9999999991062,0,0,1,outside_route_bounds,789.9233929746608,112.8057626480431,1,-0.19444396915109574,0.0,0.0,6.899019105359909,0.15108829527996195,0.0
323.2785940170288,5173,18,abl_blind,420017,-52.00697574172003,361,1804.999999998906,0,0,0,timeout,491.94023795063487,5.6336806605404135,1,-0.048965285035894084,0.0,44.63229503993411,7.1777600789442655,0.1479553378057287,0.0
344.12048411369324,5534,19,abl_blind,420018,-6.955867213708521,361,1804.999999998906,0,0,0,timeout,368.32315588346637,43.89247434600423,1,0.015517270878628772,0.0,0.0,6.7597232636064275,0.21166122098071924,0.0
365.1189260482788,5895,20,abl_blind,420019,-7.328239179858457,361,1804.999999998906,0,0,0,timeout,402.88152130085433,72.59187874659222,1,-0.002394541269823889,0.0,0.0,7.191658320277931,0.13418631831071176,0.0
387.7916679382324,6256,21,abl_blind,420020,-7.054525060792068,361,1804.999999998906,0,0,0,timeout,462.04648374678453,72.88690091163993,2,-0.023470867888981513,0.0,0.0,6.808064321056002,0.22298987184707467,0.0
406.97644090652466,6564,22,abl_blind,420021,-5.942269423454112,308,1539.9999999991471,0,0,1,outside_route_bounds,598.5032575405013,117.83007316755089,1,-0.09769820235365499,0.0,0.0,5.700191613659259,0.1443796074411916,0.0
422.5033988952637,6816,23,abl_blind,420022,-4.565461302898544,252,1259.9999999994018,0,0,1,outside_route_bounds,808.0435038468108,61.05497006160962,1,-0.20782920366997024,0.0,0.0,4.252941319346426,0.10469077988214347,0.0
444.57248878479004,7177,24,abl_blind,420023,-11.114303083420811,361,1804.999999998906,0,0,0,timeout,465.96690192031576,20.921077923024416,1,-0.03282911409584415,0.0,4.386986121596104,6.520015049353237,0.17447279837562807,0.0
449.12476897239685,7253,25,abl_blind,420024,-113.44245847403985,76,375.25000000005105,0,1,0,collision,248.918494092802,1.983089050625531,3,0.07516682675426234,100.0,12.061129386053755,1.4165888369083401,0.03990707783202555,0.0
465.2323787212372,7509,26,abl_blind,420025,-4.376993150135722,256,1279.9999999993836,0,0,1,outside_route_bounds,919.44637206367,115.46586354083692,2,-0.2580889100482946,0.0,0.0,3.989884942770002,0.12901929731742431,0.0
487.8534200191498,7870,27,abl_blind,420026,-7.2717389010113616,361,1804.999999998906,0,0,0,timeout,776.8258340018085,123.08967838850342,1,-0.18496625978124678,0.0,0.0,6.877632349543272,0.2091402916868388,0.0
510.2664918899536,8231,28,abl_blind,420027,-6.6744005986715775,361,1804.999999998906,0,0,0,timeout,729.0681072999681,106.58283351673768,1,-0.16707481318382986,0.0,0.0,6.288732676953084,0.2185931085346609,0.0
526.9952261447906,8509,29,abl_blind,420028,-5.834539827443588,278,1389.9999999992835,0,0,1,outside_route_bounds,944.694794264995,113.74423623092571,1,-0.26874189942425547,0.0,0.0,5.444121049344537,0.12167687867478934,0.0
548.0423941612244,8852,30,abl_blind,420029,-6.346157455810829,343,1714.999999998988,0,0,1,outside_route_bounds,550.9086469763108,90.16308731438785,1,-0.07167166604993987,0.0,0.0,6.111774299666288,0.16271149009460353,0.0
565.3851797580719,9132,31,abl_blind,420030,-5.494555098018288,280,1399.9999999992745,0,0,1,outside_route_bounds,956.3875265384023,112.19380033566071,1,-0.27720301444578876,0.0,0.0,5.102831203211101,0.11452088036140338,0.0
585.7405018806458,9467,32,abl_blind,420031,-4.883943033907233,335,1674.9999999990243,0,0,1,outside_route_bounds,1143.0000619487648,59.45502976902662,3,-0.374998595834462,0.0,0.0,4.36147691011429,0.1474675279584786,0.0
600.8647499084473,9717,33,abl_blind,420032,-4.306564511077027,250,1249.9999999994109,0,0,1,outside_route_bounds,783.0735135971485,104.06214397702479,1,-0.1954848112871767,0.0,0.0,3.987099827826026,0.12397987196382915,0.0
605.52099609375,9794,34,abl_blind,420033,-128.56691304412053,77,384.4000000000531,0,1,0,collision,274.9970426182375,1.9989253448071551,1,0.06311448498192333,100.0,27.155007891890815,1.4298095516860485,0.04521008552557091,0.0
709.5284819602966,10099,35,abl_blind,420034,-6.119826999674659,305,1524.9999999991608,0,0,1,outside_route_bounds,865.3729961551147,114.23300919512951,3,-0.23190639115878067,0.0,0.0,5.753860326111317,0.13406028240456,0.0
723.789754152298,10335,36,abl_blind,420035,-3.5474704096299106,236,1179.9999999994745,0,0,1,outside_route_bounds,767.7522154515359,94.67526434752642,4,-0.1834745072886722,0.0,0.0,3.2548413217067726,0.10915458063446555,0.0
743.1900248527527,10654,37,abl_blind,420036,-6.936649008539239,319,1594.999999999097,0,0,1,outside_route_bounds,927.21228692529,96.40778566443237,2,-0.26810603911946534,0.0,0.0,6.535714980820191,0.13282798859957828,0.0
764.3503499031067,11015,38,abl_blind,420037,-41.85047413989074,361,1804.999999998906,0,0,0,timeout,326.6882769767224,3.066186100060208,1,0.043323954347683456,0.0,35.479974726128084,6.268186951428646,0.1456364166816661,0.0
786.4475018978119,11376,39,abl_blind,420038,-16.905179560979033,361,1804.999999998906,0,0,0,timeout,608.6914907092236,19.209858864861204,2,-0.1037990436678794,0.0,9.674183599325055,6.94269468951971,0.18450222846638745,0.0
800.7543790340424,11616,40,abl_blind,420039,-3.415165847542774,240,1199.9999999994563,0,0,1,outside_route_bounds,947.1178840065282,113.50576877583194,2,-0.26991001653703556,0.0,0.0,3.034890691190959,0.11036513981477943,0.0
822.6843609809875,11973,41,abl_blind,420040,-6.1237296945688255,357,1784.9999999989243,0,0,1,outside_route_bounds,588.1878769054159,99.62689950478317,2,-0.09241085805720062,0.0,0.0,5.839687506016343,0.19163133049528383,0.0
844.8741660118103,12334,42,abl_blind,420041,-6.616290217669604,361,1804.999999998906,0,0,0,timeout,587.3165148886437,55.886836394700865,1,-0.09282554761935645,0.0,0.0,6.311536600813277,0.21192806923697471,0.0
858.1148998737335,12557,43,abl_blind,420042,-2.8203676306714334,223,1114.9999999995337,0,0,1,outside_route_bounds,922.0738650689872,110.09896453928854,3,-0.259290307916309,0.0,0.0,2.4617686122655864,0.09930871048953727,0.0
877.1494808197021,12864,44,abl_blind,420043,-5.3938973093694536,307,1534.9999999991517,0,0,1,outside_route_bounds,632.7420928479726,121.29079814925842,1,-0.11303448095751625,0.0,0.0,5.129678138159218,0.15118469025271872,0.0
897.0186989307404,13182,45,abl_blind,420044,-3.1907079189061562,318,1589.9999999991016,0,0,1,outside_route_bounds,961.6056829136187,40.39438134446479,2,-0.28138750413257874,0.0,0.0,2.723937085270882,0.18538332950269715,0.0
916.0791218280792,13498,46,abl_blind,420045,-3.055792367427395,316,1579.9999999991107,0,0,1,outside_route_bounds,875.8486278495955,115.56024442390077,1,-0.23632079469144654,0.0,0.0,2.6280364140868193,0.1914351586491285,0.0
931.8618149757385,13758,47,abl_blind,420046,-4.4581385526425095,260,1299.9999999993654,0,0,1,outside_route_bounds,912.5405644680402,110.78124661216347,1,-0.2570523731528843,0.0,0.0,4.073176763951778,0.1279094155378461,0.0
953.5716309547424,14119,48,abl_blind,420047,-9.698536245910946,361,1804.999999998906,0,0,0,timeout,310.27385407849124,19.284234277954486,1,0.04739881459943613,0.0,5.129757902185205,4.394004094600676,0.22217306372449544,0.0
970.9236648082733,14395,49,abl_blind,420048,-4.712365480572058,276,1379.9999999992926,0,0,1,outside_route_bounds,911.5338856550769,117.56091664133979,1,-0.25307200406645436,0.0,0.0,4.316379442065956,0.14291403443964582,0.0
990.2879848480225,14709,50,abl_blind,420049,-5.20611578209346,314,1569.9999999991198,0,0,1,outside_route_bounds,859.8971526061307,117.0454046527268,1,-0.22714485311061106,0.0,0.0,4.834011886082588,0.1449590429002576,0.0
1004.5641610622406,14944,51,abl_blind,420050,-2.7879678519005644,235,1174.999999999479,0,0,1,outside_route_bounds,932.4018331398337,116.7064384431857,3,-0.26261270274132403,0.0,0.0,2.4132107645273226,0.11214438463191746,0.0
1022.7044878005981,15248,52,abl_blind,420051,-5.938462918970703,304,1519.9999999991653,0,0,1,outside_route_bounds,936.5379535914011,109.27043323069418,2,-0.27056254612886277,0.0,0.0,5.513587237149481,0.15431313569236468,0.0
1040.4854130744934,15518,53,abl_blind,420052,-4.625080590238322,270,1349.99999999932,0,0,1,outside_route_bounds,921.4373445906682,116.5065630303549,1,-0.25869404668134394,0.0,0.0,4.239418276771906,0.12696826678507858,0.0
1058.679920911789,15807,54,abl_blind,420053,-5.164975623873326,289,1444.9999999992335,0,0,1,outside_route_bounds,929.228839545208,129.0287130473983,1,-0.2570584019576933,0.0,0.0,4.764764487743377,0.14315273417225602,0.0
