rollout/collision_rate_100,rollout/mean_return_100,time/iterations,rollout/success_rate_100,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/learning_rate,train/loss,train/std,eval/mean_minimum_true_cpa_m,eval/outside_rate,eval/mean_return,eval/mean_final_goal_distance_m,eval/mean_length_steps,eval/success_rate,eval/median_return,eval/return_std,eval/collision_rate
0.5,-59.96039826805245,1,0.0,512,33,15,,,,,,,,,,,,,,,,,,,,
0.25,-33.06677881833404,2,0.0,1024,64,15,10,-0.002683843299746513,-2.837887930870056,200.1946258544922,0.2,0.0035419157,-0.006547212600708008,0.001953125,0.0003,98.54075622558594,1.0000224113464355,,,,,,,,,
0.2,-27.78553367039084,3,0.0,1536,95,16,20,-0.002150086872279644,-2.8379238128662108,0.18402827382087708,0.2,0.0015991055,-0.8490947484970093,0.00078125,0.0003,0.04652983695268631,1.0000431537628174,,,,,,,,,
0.14285714285714285,-21.703207718574106,4,0.0,2048,127,16,30,-0.001002114242874086,-2.8368576049804686,0.05539159048348665,0.2,0.0023945018,0.5156142711639404,0.0015625,0.0003,0.02146383747458458,0.9983507394790649,,,,,,,,,
0.1111111111111111,-18.448656107211416,5,0.0,2560,162,15,40,-0.002200461318716407,-2.832473635673523,0.04456469677388668,0.2,0.002137282,-0.33602166175842285,0.0005859375,0.0003,0.011407863348722458,0.9961593151092529,,,,,,,,,
0.1,-17.165867237955457,6,0.0,3072,195,15,50,-0.001993527775630355,-2.828513526916504,0.04072912074625492,0.2,0.002960836,-0.0629723072052002,0.0015625,0.0003,0.01189722865819931,0.9946025609970093,,,,,,,,,
0.08333333333333333,-15.448291965564643,7,0.0,3584,226,15,60,-0.005643341224640608,-2.825582265853882,0.041778271086513996,0.2,0.009790229,-0.3591850996017456,0.0404296875,0.0003,0.006382625550031662,0.9927399754524231,,,,,,,,,
0.07692307692307693,-14.78334868267491,8,0.0,4096,256,15,70,-0.004750331491231918,-2.8213212490081787,0.045166511461138724,0.2,0.0039716032,-0.822954535484314,0.0060546875,0.0003,0.008666415698826313,0.9908908605575562,,,,,,,,,
0.125,-20.675084160379736,9,0.0,4608,287,16,80,-0.002886411361396313,-2.818089818954468,0.5536979377269745,0.2,0.003749962,-0.2157822847366333,0.0044921875,0.0003,0.22891360521316528,0.9895309209823608,,,,,,,,,
0.11764705882352941,-19.88505281975687,10,0.0,5120,319,16,90,0.004210259392857551,-2.815715265274048,209.7830032348633,0.2,0.0018996462,0.005912840366363525,0.0037109375,0.0003,103.06185913085938,0.9887248873710632,,,,,,,,,
0.10526315789473684,-20.89519688901554,11,0.0,5632,349,16,100,-0.0005135748535394669,-2.814655828475952,16.930262088775635,0.2,0.00032817654,0.09594917297363281,0.0,0.0003,7.870147228240967,0.9884796142578125,,,,,,,,,
0.1,-20.21684900355769,12,0.0,6144,380,16,110,-0.005348542658612132,-2.814365196228027,0.5045723646879197,0.2,0.0055242563,-0.8569551706314087,0.012890625,0.0003,0.2295728474855423,0.988408088684082,,,,,,,,,
0.09090909090909091,-18.96971702524545,13,0.0,6656,412,16,120,-0.0037364664021879435,-2.8144861698150634,0.19919871538877487,0.2,0.007865736,-0.9145777225494385,0.0455078125,0.0003,0.06294353306293488,0.9887566566467285,,,,,,,,,
0.08695652173913043,-18.343445037317327,14,0.0,7168,443,16,130,-0.0006560078356415034,-2.8155573844909667,0.30829519033432007,0.2,0.0007512283,-1.310528039932251,0.0,0.0003,0.09973274171352386,0.9893476963043213,,,,,,,,,
0.11538461538461539,-21.185884252534418,15,0.0,7680,475,16,140,-0.00571584370918572,-2.816626238822937,0.30084175169467925,0.2,0.0131586045,0.6371647119522095,0.08671875,0.0003,0.13484439253807068,0.9898059964179993,,,,,,,,,
0.1111111111111111,-20.670545535811343,16,0.0,8192,507,16,150,0.0010619721608236433,-2.8174872398376465,189.275,0.2,0.0019367083,0.03998994827270508,0.00078125,0.0003,93.38819122314453,0.9901235103607178,,,,,,,,,
0.10344827586206896,-19.676333444586945,17,0.0,8704,538,16,160,-0.005063703935593367,-2.817302441596985,0.26045903116464614,0.2,0.009907931,-0.8903881311416626,0.044921875,0.0003,0.11350496113300323,0.9895284175872803,,,,,,,,,
0.0967741935483871,-18.788851046672598,18,0.0,9216,570,16,170,-0.0008222052594646812,-2.8160604000091554,0.22002822011709214,0.2,0.001244522,0.39739060401916504,0.0,0.0003,0.08422967046499252,0.9890623092651367,,,,,,,,,
0.09090909090909091,-17.9286330300556,19,0.0,9728,601,16,180,-0.0008941229898482561,-2.815144896507263,0.22223215103149413,0.2,0.002935198,-0.3498706817626953,0.00390625,0.0003,0.08266995847225189,0.988544225692749,,,,,,,,,
0.11428571428571428,-20.752332286732283,20,0.0,10240,718,14,190,-0.0033733916003257035,-2.8136774063110352,0.10645567700266838,0.2,0.020424848,-0.02968144416809082,0.169140625,0.0003,0.048081859946250916,0.987640380859375,111.65668189969406,0.8,-0.4453485972085375,853.2715635840492,257.4,0.0,-0.4891645662434598,0.13829421592724608,0.0
0.10810810810810811,-19.913939174427004,21,0.0,10752,748,14,200,0.0012929376680403948,-2.812057876586914,227.69483795166016,0.2,0.0015739774,0.010987579822540283,0.0005859375,0.0003,112.69488525390625,0.9871396422386169,,,,,,,,,
0.10526315789473684,-20.49121641036026,22,0.0,11264,779,14,210,-0.0008373337332159281,-2.8111613988876343,5.020735597610473,0.2,0.00015180756,0.19685494899749756,0.0,0.0003,2.2962732315063477,0.986579179763794,,,,,,,,,
0.1,-19.974664225055292,23,0.0,11776,810,14,220,-0.003080756077542901,-2.8099250555038453,3.0118829250335692,0.2,0.0037426339,0.20793449878692627,0.005859375,0.0003,1.4616113901138306,0.9860800504684448,,,,,,,,,
0.0975609756097561,-19.636836553580014,24,0.0,12288,841,14,230,-0.003231581300497055,-2.8088823795318603,0.3530032128095627,0.2,0.012850802,0.28066712617874146,0.0650390625,0.0003,0.14700281620025635,0.9853521585464478,,,,,,,,,
0.09302325581395349,-18.942952477793526,25,0.0,12800,873,14,240,-0.0029192740097641946,-2.8068410634994505,0.16914922446012498,0.2,0.0077523002,0.6311320066452026,0.0232421875,0.0003,0.061077676713466644,0.9841153621673584,,,,,,,,,
0.08888888888888889,-18.29181248385327,26,0.0,13312,904,14,250,-0.007538044871762395,-2.804245448112488,0.12295311018824577,0.2,0.016916739,-0.04745686054229736,0.0861328125,0.0003,0.03974886238574982,0.9827063083648682,,,,,,,,,
0.0851063829787234,-17.67330835518015,27,0.0,13824,935,14,260,-0.004741958761587739,-2.7999812602996825,0.10773746073246002,0.2,0.00673988,0.11881262063980103,0.0193359375,0.0003,0.03469488024711609,0.9797852039337158,,,,,,,,,
0.08333333333333333,-17.507167269570374,28,0.0,14336,967,14,270,-0.0034977639093995093,-2.7947324991226195,0.07201233543455601,0.2,0.010941866,0.5653949975967407,0.0828125,0.0003,0.0217802282422781,0.9781773686408997,,,,,,,,,
0.08,-17.00525020404087,29,0.0,14848,998,14,280,-0.003970534401014447,-2.7918584823608397,0.30385690927505493,0.2,0.010633541,0.4008318781852722,0.0369140625,0.0003,0.14261659979820251,0.9767494201660156,,,,,,,,,
0.07692307692307693,-16.519018095632976,30,0.0,15360,1029,14,290,-0.00536166038364172,-2.7883233785629273,0.062146374955773354,0.2,0.014800637,0.2914888858795166,0.1138671875,0.0003,0.02335291914641857,0.9743360280990601,,,,,,,,,
0.07407407407407407,-16.0884999479079,31,0.0,15872,1062,14,300,-0.004472622461616993,-2.7837439298629763,0.05680100619792938,0.2,0.007251706,0.1262691617012024,0.06484375,0.0003,0.017864566296339035,0.9728569984436035,,,,,,,,,
0.07142857142857142,-15.598286400963712,32,0.0,16384,1093,14,310,-0.004181864066049456,-2.7814918518066407,0.06178174950182438,0.2,0.013751885,0.060114383697509766,0.0484375,0.0003,0.020963914692401886,0.972089409828186,,,,,,,,,
0.07017543859649122,-15.38567242654157,33,0.0,16896,1125,15,320,-0.0008542810101062059,-2.7809585332870483,0.04096037670969963,0.2,0.0039642677,0.616098165512085,0.0037109375,0.0003,0.015421804040670395,0.9728101491928101,,,,,,,,,
0.06779661016949153,-15.009503878459949,34,0.0,17408,1156,15,330,-0.005423455778509378,-2.781852865219116,0.011436648666858673,0.2,0.013096344,0.6765568852424622,0.0828125,0.0003,-0.0005874279886484146,0.971518337726593,,,,,,,,,
0.06557377049180328,-14.665331326731375,35,0.0,17920,1188,15,340,-0.003888499760068953,-2.7778958320617675,0.03233283646404743,0.2,0.010722902,0.5226055383682251,0.0919921875,0.0003,0.009639677591621876,0.9707085490226746,,,,,,,,,
0.06349206349206349,-14.274322304658996,36,0.0,18432,1219,15,350,-0.001009834068827331,-2.7785763502120973,0.020354777202010156,0.2,0.0015161746,0.5246816873550415,0.001171875,0.0003,0.005737045779824257,0.971701979637146,,,,,,,,,
0.06153846153846154,-13.89147470043,37,0.0,18944,1250,15,360,-0.0047561019891873,-2.7796767473220827,0.027806477062404154,0.2,0.0141030885,0.6105127334594727,0.0560546875,0.0003,0.005181604065001011,0.9712430834770203,,,,,,,,,
0.05970149253731343,-13.587418974575396,38,0.0,19456,1281,15,370,-0.0026870797853916885,-2.7775965452194216,0.024039506167173385,0.2,0.0060084886,0.7802813053131104,0.0552734375,0.0003,0.005664163269102573,0.970024049282074,,,,,,,,,
0.057971014492753624,-13.254113207983849,39,0.0,19968,1311,15,380,-0.0022395335137844084,-2.7748788595199585,0.025126081332564353,0.2,0.006573339,0.24643146991729736,0.0333984375,0.0003,0.007114719599485397,0.9689546823501587,,,,,,,,,
0.056338028169014086,-12.966964665071787,40,0.0,20480,1412,14,390,-0.002943865396082401,-2.7720845699310304,0.011977784894406795,0.2,0.014945042,0.6942545175552368,0.1013671875,0.0003,0.002086192835122347,0.9672653675079346,92.5087141160715,0.8,-24.881342111856746,757.3032667384729,223.8,0.0,-1.739161635027133,47.07333236145737,0.2
0.05555555555555555,-12.807400030510248,41,0.0,20992,1443,14,400,-0.003002755204215646,-2.767198371887207,0.01852449607104063,0.2,0.00542738,0.4819185733795166,0.0158203125,0.0003,0.0022687893360853195,0.9639984369277954,,,,,,,,,
