time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/std,train/learning_rate,train/n_updates,train/explained_variance,train/value_loss,train/policy_gradient_loss
1,739328,127,16,240.56961289,337.04,,,,,,,,,,,
2,741376,266,15,240.87267640000002,337.18,-1.9632878243923186,0.2,0.007232939,0.107763671875,0.3256334960460663,0.6610877513885498,0.0003,3610,0.9919429421424866,0.8573740646243095,-0.006017783418064937
3,743424,395,15,240.80178601999995,337.21,-1.9472714811563492,0.2,0.006798441,0.0962890625,0.6145329475402832,0.6567387580871582,0.0003,3620,0.9921864867210388,1.475034272670746,-0.0012233353481860831
4,745472,539,15,240.78820949999997,336.39,-1.9346244871616363,0.2,0.0055920854,0.08076171875,0.5008050203323364,0.6525014042854309,0.0003,3630,0.9881632924079895,1.5120798170566558,-0.004331400213413872
5,747520,665,15,240.23984947,337.02,-1.924322646856308,0.2,0.0073874076,0.06328125,10.308760643005371,0.6497610211372375,0.0003,3640,0.9029051065444946,37.157725071907045,-0.0013661005417816342
6,749568,793,15,241.18182201,332.95,-1.921104058623314,0.2,0.0044501526,0.065234375,9.961258888244629,0.6509685516357422,0.0003,3650,0.8981955051422119,27.40867269039154,-0.0027110691647976638
7,751616,936,15,240.61238563000003,334.14,-1.9209720730781554,0.2,0.00487827,0.0611328125,3.8212835788726807,0.6485552787780762,0.0003,3660,0.8482536673545837,12.991245567798615,-0.003915798489470035
8,753664,1068,15,240.37439271999995,333.99,-1.914849391579628,0.2,0.0055051968,0.030908203125,1.4849629402160645,0.6485155820846558,0.0003,3670,0.9785634279251099,3.9627959609031675,-0.0046666847076267
,,,,,,-1.9136910676956176,0.2,0.006683591,0.09736328125,1.149023413658142,0.6467814445495605,0.0003,3680,0.9760141968727112,3.2502874702215196,-0.003758462017867714
