time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/value_loss,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/n_updates
123,374.96,559104,1,16,231.00985779,,,,,,,,,,,
273,369.65,561152,2,14,232.12952054000002,10.158362865447998,0.7209368944168091,-0.0028621432138606906,0.2,0.05947265625,0.008188876,0.8056628704071045,0.0003,2.5926125049591064,-2.174431300163269,2730
401,369.5,563200,3,15,232.10945584000004,5.642925590276718,0.7201703190803528,-0.0010653448989614844,0.2,0.04365234375,0.00857178,0.9603573679924011,0.0003,2.0777461528778076,-2.1694101095199585,2740
535,368.5,565248,4,15,232.43341129999996,4.941002696752548,0.724902868270874,-0.004974499657691922,0.2,0.100390625,0.010264039,0.9418036937713623,0.0003,1.887860655784607,-2.173696607351303,2750
652,372.26,567296,5,15,231.61626961000002,28.180720257759095,0.7252130508422852,-0.0016354188555851579,0.2,0.05625,0.00462097,0.8694570064544678,0.0003,11.985782623291016,-2.1816960752010344,2760
776,372.83,569344,6,15,231.53436485999998,36.74235301017761,0.7246488928794861,-0.004734135186299682,0.2,0.063134765625,0.005770999,0.8933382630348206,0.0003,19.901060104370117,-2.18000391125679,2770
916,377.31,571392,7,15,227.15360598000004,29.283127546310425,0.7247248888015747,-0.005455013405298814,0.2,0.06572265625,0.004943645,0.9652059078216553,0.0003,8.531920433044434,-2.179598093032837,2780
1039,377.12,573440,8,15,226.73903638999997,18.88236620426178,0.7251637578010559,-0.0060592656256631015,0.2,0.063330078125,0.005282104,0.9410034418106079,0.0003,6.39587926864624,-2.1801688969135284,2790
,,,,,,7.067413878440857,0.7234214544296265,-0.007073842259705998,0.2,0.08359375,0.0091868825,0.9286414384841919,0.0003,2.2967872619628906,-2.1787211537361144,2800
