time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/std,train/policy_gradient_loss,train/clip_range,train/value_loss
1,-87.13566904,1141.26,16,127,757760,,,,,,,,,,,
2,-83.20290407,1138.04,21,191,759808,0.0003,0.9639492630958557,3700,-2.4196719229221344,0.0051667145,0.0919921875,0.05526198446750641,0.8084474802017212,0.0013208622578531504,0.2,0.43406226970255374
3,-76.91910035999999,1140.95,26,230,761856,0.0003,0.9689576029777527,3710,-2.4097513556480408,0.004612838,0.12509765625,0.8199834227561951,0.807570219039917,-0.0013180223526433111,0.2,4.2147597759962085
4,-76.91910035999999,1140.95,28,282,763904,0.0003,0.983346164226532,3720,-2.4115699946880342,0.0024669133,0.01474609375,0.564002513885498,0.809229850769043,-0.002098677429603413,0.2,3.9742788672447205
5,-83.71193602,1143.26,37,276,765952,0.0003,0.9821555018424988,3730,-2.4159406781196595,0.004908629,0.03740234375,0.7683727741241455,0.8104232549667358,-0.003282302105799317,0.2,3.0394271433353426
6,-83.71193602,1143.26,39,311,768000,0.0003,0.9843079447746277,3740,-2.4177592277526854,0.0031507148,0.0447265625,2.5886120796203613,0.8109489679336548,-0.0059051023446954785,0.2,7.276149129867553
7,-84.25824771999999,1143.78,47,302,770048,0.0003,0.9754630327224731,3750,-2.4188392162323,0.004679571,0.026513671875,0.6090145707130432,0.8116074800491333,-0.002412066201213747,0.2,2.2497776240110396
8,-86.62316530999999,1145.44,52,311,772096,0.0003,0.9856566190719604,3760,-2.4206959307193756,0.003589141,0.080712890625,2.1820130348205566,0.8116410970687866,7.964286487549543e-05,0.2,9.702329498529433
9,-79.07739493000001,1145.44,60,304,774144,0.0003,0.9882069230079651,3770,-2.419576573371887,0.0041944436,0.06083984375,0.3578404188156128,0.811133861541748,-0.005196303117554635,0.2,1.120817270874977
10,-78.65478106000002,1148.56,65,311,776192,0.0003,0.9486072063446045,3780,-2.417825537919998,0.007955086,0.04423828125,0.5687036514282227,0.8109307289123535,-0.003789354721084237,0.2,3.872189798951149
11,-79.01956756999999,1149.93,71,317,778240,0.0003,0.9860102534294128,3790,-2.4181279063224794,0.0060487217,0.055810546875,0.6252798438072205,0.8112722635269165,-0.0033808697771746665,0.2,2.8584519803524016
12,-73.74435115,1150.03,81,300,780288,0.0003,0.9240919947624207,3800,-2.4184500157833098,0.0041897413,0.02900390625,0.8438681364059448,0.8107366561889648,-0.00230115600861609,0.2,13.729392686486245
13,-73.74435115,1150.03,84,316,782336,0.0003,0.9722676277160645,3810,-2.414695590734482,0.0051985444,0.04453125,0.860983669757843,0.8075579404830933,-0.004946713242679835,0.2,5.549275016784668
14,-74.6806214,1151.71,94,302,784384,0.0003,0.9884341955184937,3820,-2.405183953046799,0.003963869,0.033642578125,0.18192414939403534,0.8040328025817871,-0.003467124537564814,0.2,1.2488066509366036
15,-75.94950724,1153.88,100,307,786432,0.0003,0.9420878291130066,3830,-2.400381273031235,0.006421378,0.03671875,7.862586975097656,0.804027795791626,-0.00391861917451024,0.2,13.571866142749787
16,-73.34827014000001,1152.19,108,303,788480,0.0003,0.9795404672622681,3840,-2.402818810939789,0.004016479,0.025390625,0.9926219582557678,0.8055365681648254,-0.00240391866536811,0.2,5.256452989578247
17,-76.35627034,1152.19,116,299,790528,0.0003,0.9902915954589844,3850,-2.407625424861908,0.009180396,0.06015625,0.5293766856193542,0.808169424533844,-0.003541111561935395,0.2,2.728779634833336
18,-74.34456615,1152.19,124,297,792576,0.0003,0.9820271134376526,3860,-2.414114016294479,0.0096962545,0.048876953125,0.30572471022605896,0.8101538419723511,-0.004136249591829256,0.2,1.4106770105659963
19,-68.58020551,1152.19,132,294,794624,0.0003,0.9206766486167908,3870,-2.417984610795975,0.0045821946,0.175830078125,0.47241920232772827,0.8126108050346375,-0.0018872424145229161,0.2,10.773471297323704
20,-66.97865044,1152.19,137,298,796672,0.0003,0.9945452809333801,3880,-2.4235077142715453,0.0037772176,0.047705078125,0.19236713647842407,0.8131570816040039,-0.005708792933728546,0.2,1.0987360894680023
21,-67.93843601,1152.19,145,296,798720,0.0003,0.975633978843689,3890,-2.423847234249115,0.0071151475,0.06533203125,0.5250473618507385,0.8136605024337769,-0.005629599699750543,0.2,3.846616122126579
22,-66.66155227,1152.19,150,300,800768,0.0003,0.9886533617973328,3900,-2.425807762145996,0.0055787116,0.065087890625,0.29352185130119324,0.8153080940246582,-0.0029406740213744342,0.2,1.9568932324647903
23,-54.587631570000006,1149.07,160,292,802816,0.0003,0.9868198037147522,3910,-2.4258762657642365,0.008101489,0.054638671875,0.24761368334293365,0.811139702796936,-0.0022012729081325234,0.2,1.296580220758915
24,-55.48843661,1149.07,165,296,804864,0.0003,0.7972045540809631,3920,-2.413887071609497,0.0056937234,0.057275390625,18.629968643188477,0.808760404586792,-0.0007342325581703335,0.2,49.81929728984833
25,-49.74312252000001,1147.37,173,294,806912,0.0003,0.9860691428184509,3930,-2.4112049102783204,0.007754998,0.04052734375,0.7217935919761658,0.8075283169746399,-0.004054190532770008,0.2,3.1775754541158676
26,-49.41628932999999,1145.13,181,293,808960,0.0003,0.9332008957862854,3940,-2.4079526901245116,0.005329974,0.0349609375,10.565537452697754,0.8063616156578064,-0.005415524553973228,0.2,27.064702701568603
27,-49.36285757,1145.13,189,291,811008,0.0003,0.9563553333282471,3950,-2.405917948484421,0.0045296364,0.052685546875,1.2569005489349365,0.8059849739074707,-0.005368755455128849,0.2,5.613907185196877
28,-48.12583745,1145.13,197,290,813056,0.0003,0.9868119955062866,3960,-2.4043495774269106,0.00552864,0.041015625,0.2742692530155182,0.8054701089859009,-0.006375779467634857,0.2,1.5027538895606996
29,-49.29333934000001,1147.67,202,292,815104,0.0003,0.9543468952178955,3970,-2.403731870651245,0.010322638,0.074609375,0.558596670627594,0.8065468072891235,-0.004682774830143899,0.2,2.760681277513504
30,-43.14551354000001,1147.67,210,291,817152,0.0003,0.9402420520782471,3980,-2.4096903622150423,0.005425005,0.048828125,0.4396061599254608,0.81015944480896,-0.0027932725264690817,0.2,11.51285161972046
31,-44.59237924,1147.67,216,293,819200,0.0003,0.9948784112930298,3990,-2.4164130806922914,0.0069388985,0.0623046875,0.4982726573944092,0.8105148673057556,-0.00745470185065642,0.2,1.4951486468315125
32,-39.778381360000004,1146.9,227,288,821248,0.0003,0.9432578682899475,4000,-2.4174770653247832,0.008407477,0.037646484375,0.3621644675731659,0.8123489022254944,-0.0022859367774799464,0.2,5.152434514462948
33,-40.43366570999999,1146.9,232,290,823296,0.0003,0.9436194896697998,4010,-2.420573276281357,0.0033623464,0.052099609375,6.573304176330566,0.8108701705932617,-0.0001829535816796124,0.2,20.79397119283676
34,-42.5552694,1152.6,243,285,825344,0.0003,0.9510079622268677,4020,-2.4168969213962557,0.0076414393,0.0748046875,0.36622798442840576,0.8128573894500732,-0.00416619197349064,0.2,2.5565049692988397
