time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z,added_mass_body_xx,added_mass_body_yy,added_mass_body_rr
3,-0.27482,-0.304786,0,0,0,0,0,0,-0,30.5658,11.2742,1.4313
3.05,-0.262581,-0.301603,0,0,0,0,0,0,-0,29.9751,11.8649,1.4313
3.1,-0.250731,-0.298349,0,0,0,0,0,0,-0,29.3792,12.4608,1.4313
3.15,-0.239263,-0.295032,0,0,0,0,0,0,-0,28.7797,13.0603,1.4313
3.2,-0.228174,-0.291659,0,0,0,0,0,0,-0,28.1782,13.6618,1.4313
3.25,-0.217455,-0.288237,0,0,0,0,0,0,-0,27.5761,14.2639,1.4313
3.3,-0.207101,-0.284775,0,0,0,0,0,0,-0,26.9748,14.8652,1.4313
3.35,-0.197104,-0.281277,0,0,0,0,0,0,-0,26.3757,15.4643,1.4313
3.4,-0.187458,-0.27775,0,0,0,0,0,0,-0,25.7799,16.0601,1.4313
3.45,-0.178154,-0.274202,0,0,0,0,0,0,-0,25.1886,16.6514,1.4313
3.5,-0.169185,-0.270636,0,0,0,0,0,0,-0,24.6029,17.2371,1.4313
3.55,-0.160542,-0.26706,0,0,0,0,0,0,-0,24.0236,17.8164,1.4313
3.6,-0.152217,-0.263478,0,0,0,0,0,0,-0,23.4516,18.3884,1.4313
3.65,-0.144202,-0.259896,0,0,0,0,0,0,-0,22.8878,18.9522,1.4313
3.7,-0.136488,-0.256317,0,0,0,0,0,0,-0,22.3328,19.5072,1.4313
3.75,-0.129066,-0.252746,0,0,0,0,0,0,-0,21.7872,20.0528,1.4313
3.8,-0.121929,-0.249187,0,0,0,0,0,0,-0,21.2516,20.5884,1.4313
3.85,-0.115067,-0.245644,0,0,0,0,0,0,-0,20.7264,21.1136,1.4313
3.9,-0.108472,-0.24212,0,0,0,0,0,0,-0,20.212,21.628,1.4313
3.95,-0.102136,-0.238618,0,0,0,0,0,0,-0,19.7087,22.1313,1.4313
4,-0.0960501,-0.235142,0,0,0,0,0,0,-0,19.2168,22.6232,1.4313
4.05,-0.0902063,-0.231693,0,0,0,0,0,0,-0,18.7365,23.1035,1.4313
4.1,-0.0845964,-0.228274,0,0,0,0,0,0,-0,18.2679,23.5721,1.4313
4.15,-0.0792126,-0.224887,0,0,0,0,0,0,-0,17.8112,24.0288,1.4313
4.2,-0.0740469,-0.221534,0,0,0,0,0,0,-0,17.3664,24.4736,1.4313
