time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/std
119,133120,1127.06,17,-190.73247562,1,,,,,,,,,,,
232,135168,1127.06,17,-190.73247562,2,-0.001779332774458453,3.2325124740600586,0.9396724104881287,0.007861328125,0.2,650,0.0003,-2.6593742966651917,11.379660606384277,0.004116987,0.9146847128868103
350,137216,1127.06,17,-197.68210919000003,3,-0.00018897841218858957,17.392711639404297,0.8441624045372009,0.000244140625,0.2,660,0.0003,-2.659707772731781,39.601702499389646,0.0014659443,0.9151018857955933
477,139264,1117.28,17,-189.26552750000002,4,-0.003312857178389095,12.259474754333496,0.9752172231674194,0.021484375,0.2,670,0.0003,-2.6600230991840363,28.274982738494874,0.004362071,0.9145565032958984
593,141312,1117.28,17,-189.74101613,5,-0.0008962477440945804,53.35576248168945,0.8930020332336426,0.000146484375,0.2,680,0.0003,-2.658751517534256,95.70152254104615,0.0010942081,0.9144200086593628
716,143360,1117.28,17,-196.9330225,6,-0.0008622343826573342,9.865984916687012,0.9720832109451294,0.0001953125,0.2,690,0.0003,-2.6588742673397063,26.564943695068358,0.0015313438,0.9144740104675293
824,145408,1117.28,17,-204.58951630000004,7,-0.0011079938383772969,21.980484008789062,0.9742793440818787,0.001513671875,0.2,700,0.0003,-2.658931440114975,48.73537940979004,0.0018311281,0.9145859479904175
956,147456,1117.28,17,-208.85738617000007,8,-0.0028565857035573574,13.732616424560547,0.9686763882637024,0.026220703125,0.2,710,0.0003,-2.658952522277832,31.503205823898316,0.006778095,0.9142638444900513
,,,,,,-0.002527973207179457,8.371021270751953,0.9768664240837097,0.01748046875,0.2,720,0.0003,-2.6582435131073,19.681263542175294,0.0038987617,0.9142961502075195
