time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
16,125,2048,1,,,,,,,,,,,,,
18,215,4096,2,0.9887763857841492,0.087890625,0.057462096214294434,10,-2.82740261554718,0.2,0.4945448148995638,0.006944295,-0.01145599790615961,0.043812695890665054,0.0003,,
24,251,6144,3,0.9812084436416626,0.049609375,0.23725491762161255,20,-2.8077612102031706,0.2,0.6476376008242368,0.0018002545,-0.00549577473429963,0.03268299624323845,0.0003,-149.01426125,1200.0
26,306,8192,4,0.9750012159347534,0.065234375,-0.04914450645446777,30,-2.793869084119797,0.2,1.8406858950853349,0.005075855,-0.004614952730480582,0.7933398485183716,0.0003,-149.01426125,1200.0
32,319,10240,5,0.9721613526344299,0.011181640625,0.13432097434997559,40,-2.783780646324158,0.2,1.4723199404776097,0.0028077364,-0.001992212771438062,0.15473395586013794,0.0003,-185.409424875,1200.0
34,356,12288,6,0.9711406230926514,0.01630859375,0.14458006620407104,50,-2.7802481591701507,0.2,5.536370891332626,0.004539167,-0.0018043211894109845,1.7212328910827637,0.0003,-185.409424875,1200.0
36,389,14336,7,0.9591302871704102,0.052880859375,0.5412503480911255,60,-2.771031326055527,0.2,0.20720031894743443,0.0048319753,-0.008304307755315677,0.0555742010474205,0.0003,-185.409424875,1200.0
42,388,16384,8,0.9506603479385376,0.0197265625,0.49310964345932007,70,-2.7449258625507356,0.2,0.4804925363510847,0.0053890394,-0.0035377785679884255,0.08561884611845016,0.0003,-178.87946083333335,1200.0
44,413,18432,9,0.944115161895752,0.10205078125,0.33310067653656006,80,-2.7289760649204253,0.2,1.8777498781681061,0.0076411553,-0.007188645889982581,0.7887781262397766,0.0003,-178.87946083333335,1200.0
50,409,20480,10,0.9381683468818665,0.079638671875,0.7629469633102417,90,-2.7173213183879854,0.2,0.391675490885973,0.007846791,-0.005621951108332723,0.1376306265592575,0.0003,-170.08536974999998,1200.0
52,431,22528,11,0.9359396696090698,0.0927734375,0.26579248905181885,100,-2.7070516467094423,0.2,2.0757642686367035,0.008698213,-0.006467325123958289,0.7640779614448547,0.0003,-170.08536974999998,1200.0
57,426,24576,12,0.9324158430099487,0.05888671875,0.26048576831817627,110,-2.7031995356082916,0.2,0.352032121270895,0.007066478,-0.006986889621475712,0.08259783685207367,0.0003,-168.94533934999998,1200.0
59,444,26624,13,0.9272499084472656,0.0443359375,0.3164064288139343,120,-2.6922774374485017,0.2,2.045697420835495,0.0044964887,-0.004066732688806951,0.8047584891319275,0.0003,-168.94533934999998,1200.0
62,460,28672,14,0.9235861301422119,0.07724609375,0.13754671812057495,130,-2.683152985572815,0.2,0.8198741286993027,0.007881445,-0.006527261494193226,0.23380091786384583,0.0003,-168.94533934999998,1200.0
67,454,30720,15,0.9221113324165344,0.0720703125,0.8168843388557434,140,-2.6769239008426666,0.2,1.1200148425996304,0.0061284644,-0.006242044502869248,0.15658631920814514,0.0003,-166.3878264583333,1200.0
69,468,32768,16,0.9201207756996155,0.033251953125,0.3811776638031006,150,-2.6741383552551268,0.2,3.2302921950817107,0.004591111,-0.0034084484563209117,1.2260119915008545,0.0003,-166.3878264583333,1200.0
75,463,34816,17,0.9158172607421875,0.051953125,0.883577823638916,160,-2.667528134584427,0.2,1.0523029819130898,0.008423511,-0.005585309769958258,0.3181591033935547,0.0003,-161.76168714285714,1200.0
77,475,36864,18,0.9139063954353333,0.01650390625,0.651306688785553,170,-2.6595854699611663,0.2,3.1367082834243774,0.0038929703,-0.0010588438482955099,1.0193672180175781,0.0003,-161.76168714285714,1200.0
82,469,38912,19,0.9125701189041138,0.101318359375,0.9088107347488403,180,-2.656625807285309,0.2,1.4085497811436654,0.0069462843,-0.0077131475321948525,0.44541412591934204,0.0003,-157.33873975,1200.0
85,480,40960,20,0.9104979038238525,0.0353515625,0.8948413133621216,190,-2.6530640184879304,0.2,1.903235250711441,0.007017689,-0.0025605662376619875,0.8504797220230103,0.0003,-157.33873975,1200.0
87,491,43008,21,0.9066920280456543,0.043408203125,0.8289702534675598,200,-2.6464367270469666,0.2,1.5427040487527848,0.0065151933,-0.004180303227622062,0.6552068591117859,0.0003,-157.33873975,1200.0
92,485,45056,22,0.9014109373092651,0.1228515625,0.8054813742637634,210,-2.6368220806121827,0.2,0.643409688025713,0.009962101,-0.011022633838001639,0.2527834475040436,0.0003,-152.54204180555558,1200.0
95,495,47104,23,0.9003438949584961,0.016015625,0.6617269515991211,220,-2.6280066668987274,0.2,4.934373873472214,0.0056474376,-0.00045084267039783297,1.3446123600006104,0.0003,-152.54204180555558,1200.0
100,489,49152,24,0.900059700012207,0.04296875,0.828781008720398,230,-2.6275477707386017,0.2,2.508860245347023,0.0066400543,-0.004663065052591264,0.9038209915161133,0.0003,-159.8084308,1200.0
102,498,51200,25,0.8984338045120239,0.037744140625,0.7895514369010925,240,-2.6258113265037535,0.2,3.1749151229858397,0.0046443185,-0.0030711925122886897,0.9410134553909302,0.0003,-159.8084308,1200.0
108,491,53248,26,0.8971329927444458,0.0611328125,0.9199737906455994,250,-2.6216195225715637,0.2,1.375344343483448,0.004976205,-0.006693726440425962,0.49008575081825256,0.0003,-159.48539670454545,1200.0
110,499,55296,27,0.8963838815689087,0.0251953125,0.8726092576980591,260,-2.6198488235473634,0.2,5.075402009487152,0.0027698518,-0.0006960107595659793,1.692635178565979,0.0003,-159.48539670454545,1200.0
113,507,57344,28,0.8965767621994019,0.02646484375,0.9026437997817993,270,-2.6186792254447937,0.2,1.4021240964531898,0.006253912,-0.002957523241639137,0.450827956199646,0.0003,-159.48539670454545,1200.0
118,501,59392,29,0.8969894051551819,0.0505859375,0.8231517672538757,280,-2.6194770991802216,0.2,0.8006782323122025,0.0067359395,-0.0051600497565232216,0.23049189150333405,0.0003,-155.048398625,1200.0
120,508,61440,30,0.8967632055282593,0.012353515625,0.8167212605476379,290,-2.6202679753303526,0.2,3.0873957008123396,0.004184905,-0.0029739978723227977,1.0862085819244385,0.0003,-155.048398625,1200.0
