t,N,E,yaw,u,v,r
0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
0.0500000000000,0.00352900994312,9.17850547518e-15,-4.20525292593e-15,0.0705801988624,1.83866917091e-13,-8.41050585185e-14
0.100000000000,0.0106433599065,2.23379664608e-14,-9.28550166050e-15,0.142286999268,2.64510425880e-13,-1.01604974691e-13
0.150000000000,0.0203835327146,3.33638680418e-14,-1.31100803972e-14,0.194803456162,2.23071920593e-13,-7.64915747334e-14
0.200000000000,0.0326142179882,4.23437123735e-14,-1.61921758053e-14,0.244613705472,1.83557714756e-13,-6.16419081627e-14
0.250000000000,0.0469097443139,4.93948326439e-14,-1.78005758282e-14,0.285910526513,1.46111777416e-13,-3.21680004571e-14
0.300000000000,0.0572360303114,5.34357040567e-14,-1.82076576039e-14,0.206525719951,8.45777778513e-14,-8.14163551391e-15
0.350000000000,0.0632601886747,5.55474412770e-14,-1.82076576039e-14,0.120483167267,4.44284606624e-14,0.00000000000
0.400000000000,0.0874822948336,6.17636659934e-14,-1.79096503709e-14,0.484442123178,1.33000683379e-13,5.96014465851e-15
0.450000000000,0.112320290340,6.45113879076e-14,-1.77635683940e-14,0.496759910124,6.37786669233e-14,2.92163953849e-15
0.500000000000,0.136114190839,6.62201594812e-14,-1.72808627311e-14,0.475878009990,4.23990140386e-14,9.65411325762e-15
0.550000000000,0.160939956238,6.73632571733e-14,-1.64890323617e-14,0.496515307977,3.10490108236e-14,1.58366073878e-14
0.600000000000,0.186196801078,6.80816511173e-14,-1.56835995438e-14,0.505136896793,2.22902436833e-14,1.61086563589e-14
0.650000000000,0.212254448970,6.85175640569e-14,-1.49213974510e-14,0.521152957849,1.64945892105e-14,1.52440418565e-14
0.700000000000,0.237685224511,6.87653750346e-14,-1.44082276974e-14,0.508615510812,1.22844676426e-14,1.02633950721e-14
0.750000000000,0.263989786332,6.89265195217e-14,-1.36335387424e-14,0.526091236416,1.03953749968e-14,1.54937790992e-14
0.800000000000,0.292162815848,6.90607933627e-14,-1.27471729317e-14,0.563460590331,9.86800640368e-15,1.77273162136e-14
0.850000000000,0.320258201544,6.92112238580e-14,-1.22039130938e-14,0.561907713914,9.86608281492e-15,1.08651967590e-14
0.900000000000,0.348892385072,6.94276666773e-14,-1.17638325385e-14,0.572683670569,1.10658111842e-14,8.80161110574e-15
0.950000000000,0.379483246561,6.97647079489e-14,-1.14234862704e-14,0.611817229772,1.37299111560e-14,6.80692536157e-15
1.00000000000,0.410004579989,7.02295797509e-14,-1.10667031095e-14,0.610426668551,1.60528467505e-14,7.13566321870e-15
1.05000000000,0.440433138313,7.08346976505e-14,-1.06173573335e-14,0.608571166491,1.85637755288e-14,8.98691552014e-15
1.10000000000,0.471067344151,7.15820719362e-14,-1.01696429056e-14,0.612684116750,2.11782643969e-14,8.95428855780e-15
1.15000000000,0.500064337197,7.24194523229e-14,-9.62866150448e-15,0.579939860933,2.23316523475e-14,1.08196280218e-14
1.20000000000,0.531314816078,7.34511159006e-14,-9.32587340685e-15,0.625009577612,2.64620317516e-14,6.05576195250e-15
1.25000000000,0.563545064985,7.46275417657e-14,-9.19525893337e-15,0.644604978132,2.94558269856e-14,2.61228946971e-15
