t,N,E,yaw,u,v,r
0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
0.0500000000000,0.00385357634621,2.87917751524e-17,0.00000000000,0.0770715269242,5.75835503047e-16,0.00000000000
0.100000000000,0.0103911901411,3.01365711179e-17,6.83214168998e-17,0.130752275897,1.79627385592e-17,1.36642833800e-15
0.150000000000,0.0189694829353,3.17590500874e-17,4.44089209850e-16,0.171565855884,-4.37409659874e-17,7.51535585900e-15
0.200000000000,0.0302111507014,3.31709759304e-17,3.64153152077e-16,0.224833355322,-5.36352581725e-17,-1.59872115546e-15
0.250000000000,0.0436214326931,3.37239362198e-17,-2.48689957516e-16,0.268205639835,7.77592549639e-17,-1.22568621919e-14
0.300000000000,0.0578808605196,3.39651678626e-17,-4.55984456543e-16,0.285188556529,1.34866181816e-16,-4.14588998054e-15
0.350000000000,0.0654653087146,3.40338265693e-17,-5.55111512313e-16,0.151688963901,8.55774642859e-17,-1.98254111540e-15
0.400000000000,0.0730497569097,3.41024852760e-17,-6.54238568082e-16,0.151688963901,1.00613944671e-16,-1.98254111540e-15
0.450000000000,0.112686284764,2.70565099580e-17,-4.44089209850e-16,0.792730557092,2.11123580364e-16,4.20298716465e-15
0.500000000000,0.135904596306,1.87944167105e-17,-4.85984418326e-16,0.464366230842,6.04328876366e-17,-8.37904169526e-16
0.550000000000,0.158079818375,8.95890916526e-18,-6.99204287849e-16,0.443504441370,1.13390056180e-16,-4.26439739045e-15
0.600000000000,0.183129844066,-4.09987523360e-18,-9.70417162265e-16,0.501000513816,2.25003808933e-16,-5.42425748832e-15
0.650000000000,0.206632513334,-1.48569043210e-17,-1.33226762955e-15,0.470053385359,4.11096327727e-16,-7.23700934571e-15
0.700000000000,0.232940946630,-3.01984418182e-17,-1.27131420859e-15,0.526168665934,3.62094951173e-16,1.21906841920e-15
0.750000000000,0.259283584121,-5.25204313983e-17,-8.32667268469e-16,0.526852749808,-7.74675153483e-18,8.77293880242e-15
