time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/std,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance
124,1,236.14278323,428032,16,367.58,,,,,,,,,,,
262,2,236.70706279,430080,15,365.76,0.0003,2090,0.7927681803703308,1.9615684747695923,0.011339317,-0.005704333505127579,5.45682784318924,0.073779296875,-2.372300457954407,0.2,0.9571021199226379
394,3,236.61166774999998,432128,15,367.3,0.0003,2100,0.7917295694351196,7.693777561187744,0.006477038,-0.0015101425655302592,21.013294339179993,0.041650390625,-2.36938516497612,0.2,0.8846224546432495
533,4,236.11793117000005,434176,15,371.73,0.0003,2110,0.7913519144058228,18.686044692993164,0.0059862537,-0.00373008715105243,52.167410659790036,0.0521484375,-2.3672244012355805,0.2,0.8071206212043762
665,5,236.5848223,436224,15,369.82,0.0003,2120,0.7902311682701111,12.35570240020752,0.0053042206,-0.004713950020959601,36.497205066680905,0.070458984375,-2.3654919028282166,0.2,0.855353593826294
798,6,236.80050015999998,438272,15,369.2,0.0003,2130,0.787193775177002,5.670156478881836,0.0040027583,-0.003961126913782209,11.408380568027496,0.047216796875,-2.3611467838287354,0.2,0.9142727851867676
931,7,236.85465428000003,440320,15,370.85,0.0003,2140,0.7894096970558167,13.59347152709961,0.0050814515,-0.005509149061981589,37.6531911611557,0.07939453125,-2.3581121444702147,0.2,0.8245418071746826
1067,8,236.78336842000002,442368,15,372.75,0.0003,2150,0.7860514521598816,16.982765197753906,0.010574001,-0.006647472205804661,40.98822388648987,0.082275390625,-2.3602557241916657,0.2,0.8713328838348389
,,,,,,0.0003,2160,0.785286545753479,19.156005859375,0.004607105,-0.00269586137146689,57.5375883102417,0.02890625,-2.35216401219368,0.2,0.8273457884788513
