time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/approx_kl,train/std,train/clip_fraction,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate
120,-207.81539370000002,16,313344,1,861.19,,,,,,,,,,,
247,-175.38195557,16,315392,2,838.58,0.005974245,0.8690921664237976,0.036669921875,39.199005651473996,10.838406562805176,1530,-0.002306565927574411,0.2,-2.55949786901474,0.586922287940979,0.0003
381,-98.58977658000003,16,317440,3,806.91,0.007596124,0.8637712597846985,0.055419921875,25.943824076652525,13.764565467834473,1540,-0.0028317693388089536,0.2,-2.551788419485092,0.832888662815094,0.0003
513,-83.64618034000002,15,319488,4,791.64,0.007126781,0.8628934621810913,0.065869140625,114.43468132019044,53.07093811035156,1550,-0.002304683008696884,0.2,-2.5421484470367433,0.43734902143478394,0.0003
638,-84.50067388000001,16,321536,5,794.0,0.004645711,0.864238977432251,0.035009765625,41.188759851455686,13.905426979064941,1560,-0.0030215567618142813,0.2,-2.5437637507915496,0.794340193271637,0.0003
766,-57.33974150000002,16,323584,6,778.79,0.0053743985,0.8623171448707581,0.0298828125,62.66238670349121,22.368072509765625,1570,-0.0047958851093426345,0.2,-2.5445955455303193,0.9174408316612244,0.0003
882,-45.06186273000001,16,325632,7,760.37,0.0041190563,0.8618090152740479,0.040625,89.36486730575561,45.638736724853516,1580,-0.005373861172120087,0.2,-2.5398430705070494,0.8362923264503479,0.0003
1002,-26.804612290000012,16,327680,8,742.04,0.0060582687,0.8624191284179688,0.0478515625,46.84808750152588,15.165329933166504,1590,-0.004404658326529897,0.2,-2.5402447462081907,0.7514944672584534,0.0003
,,,,,,0.0030193867,0.8628741502761841,0.015234375,90.72867584228516,33.60148620605469,1600,-0.003608846617862582,0.2,-2.541798323392868,0.7978730201721191,0.0003
