time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/learning_rate
1,-303.21794672,264192,16,979.6,120,,,,,,,,,,,
2,-298.84242381,266240,17,975.92,232,0.0032379834,46.341854095458984,1290,0.2,-2.613700431585312,0.006787109375,107.65121669769287,0.7459750771522522,0.8942136764526367,-0.002286932841525413,0.0003
3,-299.42530889,268288,17,979.82,360,0.0069493367,24.492759704589844,1300,0.2,-2.614208537340164,0.043701171875,63.92454566955566,0.9605118036270142,0.8946481943130493,-0.0028462251066230237,0.0003
4,-339.46162935,270336,16,988.46,483,0.0051889964,177.10267639160156,1310,0.2,-2.6153696298599245,0.017578125,424.10694122314453,0.9130184650421143,0.8951742053031921,-0.002316686559061054,0.0003
5,-340.97223062000006,272384,17,989.36,595,0.0018315754,126.1006851196289,1320,0.2,-2.61609942317009,0.0044921875,254.22274017333984,0.9333750009536743,0.895118236541748,-0.0017990124877542257,0.0003
6,-336.96888490999993,274432,17,980.76,720,0.0065635657,19.065088272094727,1330,0.2,-2.615440320968628,0.065966796875,49.869087600708006,0.9737257361412048,0.8945305347442627,-0.006801880104467273,0.0003
7,-341.8010691,276480,16,978.97,854,0.006712153,22.491107940673828,1340,0.2,-2.614611953496933,0.046484375,70.21511287689209,0.9584431648254395,0.8947955369949341,-0.0038477045149193146,0.0003
8,-346.85661723000004,278528,16,982.23,966,0.0054804944,14.382391929626465,1350,0.2,-2.6144134521484377,0.061083984375,49.5190242767334,0.9734922647476196,0.893141508102417,-0.006065127591136843,0.0003
,,,,,,0.004663038,10.633813858032227,1360,0.2,-2.609938567876816,0.01640625,39.538216495513915,0.9721904397010803,0.8921352624893188,-0.0032318591780494898,0.0003
