scenario_id,axis,tier,vehicle_id,controller,seeds,progress_mean_m,success_rate,energy_mean
res-02-high-sensor-power,resources,simple,vehicle-b-rudder,pid,1,0.000008051583359591774,0,0.021500011966214993
res-02-high-sensor-power,resources,simple,vehicle-c-azimuth,pid,1,-0.000021590877637756023,0,0.021500022908128066
res-03-switching-penalty,resources,moderate,vehicle-a-otter,pid,1,0.00003248902171426593,0,0.021500053830554686
res-03-switching-penalty,resources,moderate,vehicle-b-rudder,pid,1,0.14985986466245205,0,0.3941532998425452
res-03-switching-penalty,resources,moderate,vehicle-c-azimuth,pid,1,-0.011313395047139796,0,2.1502755084907945
res-04-bandwidth-budget,resources,moderate,vehicle-a-otter,pid,1,0.00003248902171426593,0,0.021500053830554686
res-04-bandwidth-budget,resources,moderate,vehicle-b-rudder,pid,1,0.14985986466245205,0,0.3941532998425452
res-04-bandwidth-budget,resources,moderate,vehicle-c-azimuth,pid,1,-0.011313395047139796,0,2.1502755084907945
res-05-compute-budget,resources,moderate,vehicle-a-otter,pid,1,0.7321094477243499,0,1.7424286134944655
res-05-compute-budget,resources,moderate,vehicle-b-rudder,pid,1,1.2483472327026215,0,0.9752181125668176
res-05-compute-budget,resources,moderate,vehicle-c-azimuth,pid,1,0.010345064026303419,0,2.15033584143826
res-06-mixed-energy-tradeoff,resources,moderate,vehicle-a-otter,pid,1,1.0613575956569128,0,2.187785798974284
res-06-mixed-energy-tradeoff,resources,moderate,vehicle-b-rudder,pid,1,2.013103462876685,0,1.3263136315416644
res-06-mixed-energy-tradeoff,resources,moderate,vehicle-c-azimuth,pid,1,0.02022708426297104,0,2.1503659089205014
geo-01-open-coastal,geography,simple,vehicle-a-otter,pid,1,0.0000753483421762624,0,0.02150008638861834
geo-01-open-coastal,geography,simple,vehicle-b-rudder,pid,1,0.000008051583359591774,0,0.021500011966214993
geo-01-open-coastal,geography,simple,vehicle-c-azimuth,pid,1,-0.000021590877637756023,0,0.021500022908128066
geo-02-structured-harbor,geography,moderate,vehicle-a-otter,pid,1,0.044103359072141135,0,0.451982167695832
geo-02-structured-harbor,geography,moderate,vehicle-b-rudder,pid,1,0.4743717052727434,0,0.6015249630982419
geo-02-structured-harbor,geography,moderate,vehicle-c-azimuth,pid,1,-0.0029812879491588617,0,2.15029779295014
geo-03-narrow-channel,geography,moderate,vehicle-a-otter,pid,1,0.38497760642844714,0,1.2137035755380465
geo-03-narrow-channel,geography,moderate,vehicle-b-rudder,pid,1,0.8521616510479308,0,0.7903779720364494
geo-03-narrow-channel,geography,moderate,vehicle-c-azimuth,pid,1,0.004187994959099051,0,2.1503179006387385
geo-04-shallow-hazard,geography,moderate,vehicle-a-otter,pid,1,0.7321094477243499,0,1.7424286134944655
geo-04-shallow-hazard,geography,moderate,vehicle-b-rudder,pid,1,1.2483472327026215,0,0.9752181125668176
geo-04-shallow-hazard,geography,moderate,vehicle-c-azimuth,pid,1,0.010345064026303419,0,2.15033584143826
geo-05-bridge-transit,geography,complex,vehicle-a-otter,pid,1,1.0592417933213971,0,2.1881044133533716
geo-05-bridge-transit,geography,complex,vehicle-b-rudder,pid,1,2.8963164542397406,0,1.7388373027170414
geo-05-bridge-transit,geography,complex,vehicle-c-azimuth,pid,1,0.027695486128688884,0,2.150389657621762
geo-06-restricted-region,geography,complex,vehicle-a-otter,pid,1,1.0592417933213971,0,2.1881044133533716
geo-06-restricted-region,geography,complex,vehicle-b-rudder,pid,1,2.8963164542397406,0,1.7388373027170414
geo-06-restricted-region,geography,complex,vehicle-c-azimuth,pid,1,0.027695486128688884,0,2.150389657621762
mis-01-waypoint-navigation,mission-integration,simple,vehicle-a-otter,pid,1,0.00006118705001911806,0,0.021500074062605574
mis-01-waypoint-navigation,mission-integration,simple,vehicle-b-rudder,pid,1,0.00000814808186699878,0,0.021500012002038785
mis-01-waypoint-navigation,mission-integration,simple,vehicle-c-azimuth,pid,1,-0.000019788213230675922,0,0.021500022582782705
mis-02-obstacle-avoidance,mission-integration,simple,vehicle-a-otter,pid,1,0.00006118705001911806,0,0.021500074062605574
mis-02-obstacle-avoidance,mission-integration,simple,vehicle-b-rudder,pid,1,0.00000814808186699878,0,0.021500012002038785
mis-02-obstacle-avoidance,mission-integration,simple,vehicle-c-azimuth,pid,1,-0.000019788213230675922,0,0.021500022582782705
mis-03-station-keeping,mission-integration,moderate,vehicle-a-otter,pid,1,0.044103359072141135,0,0.451982167695832
mis-03-station-keeping,mission-integration,moderate,vehicle-b-rudder,pid,1,0.4743717052727434,0,0.6015249630982419
mis-03-station-keeping,mission-integration,moderate,vehicle-c-azimuth,pid,1,-0.0029812879491588617,0,2.15029779295014
mis-04-channel-traversal,mission-integration,moderate,vehicle-a-otter,pid,1,1.0727057660433772,0,2.1881534367610715
mis-04-channel-traversal,mission-integration,moderate,vehicle-b-rudder,pid,1,1.7080206436084082,0,1.186242756630477
mis-04-channel-traversal,mission-integration,moderate,vehicle-c-azimuth,pid,1,0.015644831637648515,0,2.150351773322579
mis-05-changing-weather,mission-integration,moderate,vehicle-a-otter,pid,1,1.0727057660433772,0,2.1881534367610715
mis-05-changing-weather,mission-integration,moderate,vehicle-b-rudder,pid,1,1.7080206436084082,0,1.186242756630477
