time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/loss,train/std,train/value_loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/policy_gradient_loss
542720,234.35904211999997,1,381.79,16,127,,,,,,,,,,,
544768,235.74753968999997,2,375.09,15,267,1.413162112236023,0.7318202257156372,4.606401699781418,-2.2095064759254455,2650,0.05908203125,0.9471928477287292,0.2,0.008766461,0.0003,-0.0024679870868567376
546816,234.97734343999994,3,379.57,15,388,7.9689788818359375,0.7324877977371216,19.385304236412047,-2.201295292377472,2660,0.080908203125,0.8889598846435547,0.2,0.005986095,0.0003,-0.0014581897354219108
548864,234.63408396999995,4,379.39,15,514,35.295799255371094,0.7338135242462158,100.78412322998047,-2.2060799598693848,2670,0.077001953125,0.7993935346603394,0.2,0.0049731936,0.0003,-0.003146667982218787
550912,228.46716891999998,5,387.94,15,649,3.611992597579956,0.7339950799942017,16.330888426303865,-2.207880461215973,2680,0.051611328125,0.9846280217170715,0.2,0.005127778,0.0003,-0.005729363061254844
552960,228.56719968,6,386.98,15,779,1.3766474723815918,0.7306356430053711,7.6153449177742,-2.20499307513237,2690,0.05458984375,0.9830486178398132,0.2,0.0043828837,0.0003,-0.0018019007926341145
555008,230.65332474000002,7,375.18,15,916,1.4428554773330688,0.7268985509872437,4.275385200977325,-2.1921858489513397,2700,0.1294921875,0.9635370373725891,0.2,0.006586571,0.0003,-0.0005815162498038262
557056,230.96326638000002,8,375.15,15,1052,8.999908447265625,0.7227565050125122,36.99205503463745,-2.182773005962372,2710,0.090380859375,0.7229872941970825,0.2,0.0071507576,0.0003,-0.005422811495373025
,,,,,,11.825138092041016,0.7224828004837036,34.31247701644897,-2.175539046525955,2720,0.059912109375,0.823836624622345,0.2,0.007191538,0.0003,-0.004401467420393601
