rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/std,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss
-206.7397639647059,107,116736,19,1161.3176470588235,1,,,,,,,,,,,
-198.2286285172414,219,118784,18,1150.9655172413793,2,0.0052700853,570,0.3412166237831116,0.029541015625,0.9148231148719788,13.436381101608276,0.0003,0.2,4.938787460327148,-0.003815845603821799,-2.663115268945694
-193.79334351648353,337,120832,18,1142.9450549450548,3,0.0021545445,580,0.870819091796875,0.002001953125,0.9143034219741821,93.3377818107605,0.0003,0.2,46.19083786010742,-0.0014246113350964151,-2.6586398005485536
-193.79334351648353,441,122880,18,1142.9450549450548,4,0.002420987,590,0.8479743003845215,0.0048828125,0.9139689207077026,76.24648351669312,0.0003,0.2,34.222145080566406,-0.0009545275417622179,-2.6582283079624176
-187.6039225851064,559,124928,18,1141.712765957447,5,0.004735574,600,0.8579827547073364,0.00986328125,0.9139111042022705,16.78273437023163,0.0003,0.2,4.942525863647461,-0.0020636635133996608,-2.6576900124549865
-186.67248995833333,677,126976,18,1135.75,6,0.0047274325,610,0.9093499183654785,0.023486328125,0.9144970774650574,62.1752149105072,0.0003,0.2,27.983484268188477,-0.0018936634325655178,-2.6581187307834626
-183.10957420618558,785,129024,18,1130.8556701030927,7,0.006060485,620,0.9281390309333801,0.032568359375,0.9140042066574097,57.880703926086426,0.0003,0.2,34.61136245727539,-0.003598753613187,-2.6586251616477967
-190.73247562,915,131072,17,1127.06,8,0.0018054375,630,0.9309223890304565,0.000634765625,0.9138131141662598,61.52797527313233,0.0003,0.2,22.46759033203125,-0.0010868790617678315,-2.6574301958084106
,,,,,,0.006436909,640,0.941244900226593,0.043798828125,0.9145736694335938,39.89706358909607,0.0003,0.2,12.01381778717041,-0.003953133226605132,-2.6581603407859804
