rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance
-117.37554185999997,1,1153.64,16,126,505856,,,,,,,,,,,
-117.37554185999997,2,1153.64,18,216,507904,0.577202221006155,0.2,2470,0.10485272854566574,0.0003,-2.4820233047008515,-0.0009817264042794704,0.02385161,0.126953125,0.8351856470108032,0.9771150350570679
-115.31242105999999,3,1153.64,24,252,509952,3.5275153517723083,0.2,2480,0.7709606289863586,0.0003,-2.477752482891083,0.043774356204085055,0.105998755,0.430517578125,0.835833728313446,0.9747595191001892
-115.31242105999999,4,1153.64,26,307,512000,2.718732897937298,0.2,2490,0.4644438326358795,0.0003,-2.479390925168991,-0.0037808301218319683,0.003197623,0.033935546875,0.8359286189079285,0.9914894104003906
-122.30957172000001,5,1153.64,32,319,514048,3.4670850694179536,0.2,2500,0.3763355016708374,0.0003,-2.479028958082199,-0.001324382657185197,0.004330769,0.016748046875,0.8359307050704956,0.46769922971725464
-122.30957172000001,6,1153.64,34,357,516096,9.331421414017678,0.2,2510,0.2524750828742981,0.0003,-2.4801080167293548,-0.0017173162545077504,0.00455238,0.04833984375,0.8368356227874756,0.9604962468147278
-122.97446457,7,1152.24,44,319,518144,2.1585024014115333,0.2,2520,0.35610705614089966,0.0003,-2.4809555530548097,-0.002414077369030565,0.0038808852,0.02978515625,0.8361612558364868,0.9708461761474609
-124.38550853000001,8,1152.24,50,327,520192,62.69170627593994,0.2,2530,14.122601509094238,0.0003,-2.479211127758026,-0.002627351530827582,0.003497367,0.017919921875,0.8355135917663574,0.7838984727859497
-124.61594083000001,9,1152.24,55,334,522240,2.7004101872444153,0.2,2540,0.5432015657424927,0.0003,-2.4763052225112916,-0.004315476072952152,0.0047837417,0.03505859375,0.8335726261138916,0.9852545261383057
-129.43721398,10,1152.24,65,311,524288,5.188878268003464,0.2,2550,0.7881705164909363,0.0003,-2.4738200426101686,-0.0030852158553898333,0.005441974,0.024072265625,0.8332685232162476,0.9309009313583374
-129.43721398,11,1152.24,68,330,526336,1.9161513864994049,0.2,2560,0.42412692308425903,0.0003,-2.4722294390201567,-0.0017498067230917514,0.0044470634,0.02080078125,0.832735538482666,0.9933514595031738
-132.82351586000004,12,1153.79,81,301,528384,2.2632297851145267,0.2,2570,0.2858697772026062,0.0003,-2.469381481409073,-0.004022257617907599,0.0056947796,0.021728515625,0.8295282125473022,0.9030395746231079
-132.82351586000004,13,1153.79,83,317,530432,1.7972689509391784,0.2,2580,0.43481674790382385,0.0003,-2.461587816476822,-0.0020960391731932758,0.00574368,0.050390625,0.8285473585128784,0.9968000650405884
-136.70971587000003,14,1154.14,97,294,532480,1.0990159563720225,0.2,2590,0.23496194183826447,0.0003,-2.4649065375328063,0.000288293045014143,0.0025806162,0.094970703125,0.8319092988967896,0.9833911657333374
-136.70971587000003,15,1154.14,99,308,534528,19.2877139210701,0.2,2600,1.3248718976974487,0.0003,-2.4720218658447264,-0.002303959080018103,0.0033173682,0.079638671875,0.8335801362991333,0.9623299837112427
-138.40319268000002,16,1154.14,107,304,536576,1.8871093899011613,0.2,2610,0.7033217549324036,0.0003,-2.477372354269028,-0.0030548055772669615,0.005554931,0.048046875,0.8376244306564331,0.9868767261505127
-141.11083639,17,1154.14,115,301,538624,4.721802657842636,0.2,2620,1.1101382970809937,0.0003,-2.486169457435608,-0.006563138938508928,0.01214363,0.110888671875,0.8401322364807129,0.9711825847625732
-141.11083639,18,1154.14,117,312,540672,1.3481563434004784,0.2,2630,0.21624311804771423,0.0003,-2.493557333946228,-0.003597471897955984,0.0054348763,0.0400390625,0.8448234796524048,0.9900665283203125
-145.89035848000003,19,1154.14,131,296,542720,0.5941519621759653,0.2,2640,0.08951552212238312,0.0003,-2.49834303855896,-0.004864519357215613,0.009136962,0.074658203125,0.8408082723617554,0.9875499606132507
-145.89035848000003,20,1154.14,133,306,544768,1.6726257413625718,0.2,2650,0.6236557960510254,0.0003,-2.485198789834976,-0.006282856815960258,0.009479118,0.093505859375,0.8367520570755005,0.9959328770637512
-149.18609166,21,1156.43,144,297,546816,1.4698224894702434,0.2,2660,0.3026704788208008,0.0003,-2.482346123456955,-0.005461738118901849,0.024875809,0.11552734375,0.838864266872406,0.9819395542144775
-147.90361828000002,22,1156.43,149,301,548864,1.9805000022053718,0.2,2670,0.5110887885093689,0.0003,-2.48467178940773,-0.005036542238667607,0.009460865,0.06630859375,0.8370258212089539,0.9923349618911743
-148.89446048,23,1157.85,154,304,550912,0.8325351685285568,0.2,2680,0.19167916476726532,0.0003,-2.477669084072113,-0.006022016901988536,0.0053416723,0.07919921875,0.8337788581848145,0.9943023324012756
-155.31010957,24,1163.68,165,296,552960,29.669649243354797,0.2,2690,11.124349594116211,0.0003,-2.4730550765991213,-0.007374192168936133,0.0032001068,0.068798828125,0.8346271514892578,0.9075698256492615
-158.18410388,25,1167.17,170,299,555008,1.5769509434700013,0.2,2700,0.2749480903148651,0.0003,-2.4779278695583344,-0.003923903114628047,0.0078052543,0.05791015625,0.8365169763565063,0.9944650530815125
-156.17526080000005,26,1166.85,181,293,557056,1.6386701330542564,0.2,2710,0.4282957911491394,0.0003,-2.4794727563858032,-0.0026422956318128852,0.0059023425,0.028857421875,0.8353514075279236,0.9700915813446045
-156.56956957,27,1168.29,186,296,559104,15.891343891620636,0.2,2720,3.5908634662628174,0.0003,-2.474746513366699,-0.0022433225298300386,0.0077991425,0.074365234375,0.8324089050292969,0.9627329707145691
-156.74888539000003,28,1168.89,197,290,561152,15.42079022526741,0.2,2730,4.364294052124023,0.0003,-2.469710057973862,-0.0025423633167520167,0.0077024084,0.03515625,0.8322418928146362,0.844073474407196
-154.99171751000003,29,1164.68,202,293,563200,28.804947519302367,0.2,2740,11.268904685974121,0.0003,-2.471444571018219,-0.001082167960703373,0.004517693,0.038525390625,0.8336129188537598,0.9190837740898132
-154.34798849999999,30,1164.09,213,287,565248,20.145783269405364,0.2,2750,6.4540629386901855,0.0003,-2.472409725189209,-0.0023202083306387068,0.006605485,0.035595703125,0.8314557671546936,0.8119302988052368
-155.52827541000002,31,1164.09,218,290,567296,18.86337003707886,0.2,2760,2.962629795074463,0.0003,-2.4652908205986024,-0.0020841221790760755,0.0058397613,0.026025390625,0.8292511701583862,0.9672430157661438
-152.44127004,32,1164.4,226,289,569344,1.8574990510940552,0.2,2770,0.5317367911338806,0.0003,-2.461240994930267,-0.006390224350616336,0.00928448,0.079296875,0.827539324760437,0.9873178005218506
-152.57565713,33,1164.4,232,291,571392,10.270819592475892,0.2,2780,4.977573871612549,0.0003,-2.457267129421234,-0.00481686427956447,0.005771393,0.07197265625,0.8255492448806763,0.9751811623573303
-151.96943467000003,34,1160.89,243,286,573440,1.3550807669758798,0.2,2790,0.3675835430622101,0.0003,-2.4525132060050963,-0.0048724783584475516,0.003863854,0.048486328125,0.8244667053222656,0.9959095120429993
-154.31819058000002,35,1164.24,248,288,575488,10.502621346712113,0.2,2800,3.6004693508148193,0.0003,-2.451893872022629,-0.006664618314243853,0.003995882,0.064013671875,0.8250603675842285,0.9845346212387085
-156.98608178000003,36,1167.87,256,287,577536,2.179984673857689,0.2,2810,0.31881269812583923,0.0003,-2.452335226535797,-0.003706857666838914,0.0068775285,0.05791015625,0.8238872289657593,0.9870043396949768
-159.33613453,37,1171.51,265,285,579584,2.965983137488365,0.2,2820,0.4567844569683075,0.0003,-2.4521038830280304,-0.0034661147161386906,0.0047764266,0.043212890625,0.8259410858154297,0.9856641292572021
-158.49179673,38,1171.51,270,287,581632,2.2077456012368204,0.2,2830,0.5402597188949585,0.0003,-2.455587273836136,-0.004033989470917732,0.0088527845,0.06396484375,0.8255169987678528,0.9930775761604309
-154.23244856,39,1171.51,279,286,583680,1.277390617132187,0.2,2840,0.33462610840797424,0.0003,-2.4533673405647276,-0.0057268356322310865,0.006607461,0.060595703125,0.8249290585517883,0.9936049580574036
-153.12086972,40,1171.51,284,287,585728,1.0633309029042721,0.2,2850,0.23141005635261536,0.0003,-2.4533310294151307,-0.00505344970151782,0.0051929043,0.04951171875,0.8270622491836548,0.9953147172927856
-151.95132265,41,1171.51,295,283,587776,3.189068987965584,0.2,2860,0.5482468605041504,0.0003,-2.4598231434822084,-0.0033430897747166455,0.0052968524,0.03349609375,0.8278264999389648,0.9783197641372681
-150.33687152000005,42,1170.29,301,285,589824,1.4088228791952133,0.2,2870,0.6198760867118835,0.0003,-2.461336672306061,-0.0032153032952919602,0.005983884,0.038037109375,0.8291981220245361,0.9951236248016357
-147.73809999000002,43,1170.29,309,284,591872,29.67739826440811,0.2,2880,1.7354817390441895,0.0003,-2.4619939148426058,-0.0017324688960798085,0.008538476,0.0349609375,0.827375054359436,0.5747082829475403
