time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/n_updates,train/std,train/learning_rate,train/value_loss,train/policy_gradient_loss
17,-21.20848834,119,1,729.74,329728,,,,,,,,,,,
16,-20.61754215000001,246,2,725.55,331776,0.04345703125,-2.541598308086395,19.09447479248047,0.006633658,0.2,0.5921996831893921,1610,0.8623734712600708,0.0003,53.7237114906311,-0.002541730529628694
16,-0.3259467300000105,366,3,712.67,333824,0.082568359375,-2.540252125263214,29.502405166625977,0.008087825,0.2,0.6143084764480591,1620,0.8617591857910156,0.0003,79.47571802139282,-0.003913601784734056
16,29.303510199999987,490,4,705.27,335872,0.049853515625,-2.536344701051712,30.49626350402832,0.006066923,0.2,0.7925071716308594,1630,0.8582482933998108,0.0003,67.86904048919678,-0.004352816811297089
16,58.77761394999999,617,5,687.27,337920,0.074755859375,-2.5296272575855254,12.867548942565918,0.0051719835,0.2,0.8719348907470703,1640,0.8578370809555054,0.0003,36.297804307937625,-0.007977892935741693
16,69.12107760999999,743,6,677.65,339968,0.046337890625,-2.530416029691696,31.006439208984375,0.0042508645,0.2,0.7904062867164612,1650,0.8574298024177551,0.0003,59.85708637237549,-0.002388593216892332
16,68.52547427,861,7,684.29,342016,0.043017578125,-2.5300796031951904,39.36224365234375,0.0051165456,0.2,0.7327742576599121,1660,0.8574451208114624,0.0003,92.28659429550171,-0.003991041454719379
16,104.8053931,985,8,672.45,344064,0.047216796875,-2.528470981121063,37.7859001159668,0.0046737134,0.2,0.64202880859375,1670,0.8565306067466736,0.0003,93.73491649627685,-0.003738437718129717
,,,,,,0.063037109375,-2.5254598200321197,27.00263786315918,0.0077817272,0.2,0.6380541920661926,1680,0.8541440963745117,0.0003,75.39074478149413,-0.0049653316382318735
