time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/approx_kl
125,238.34345148999998,366.5,16,460800,1,,,,,,,,,,,
262,238.47498127000003,365.61,15,462848,2,5.322902977466583,0.9514174461364746,-0.00442217270610854,0.7736161947250366,0.0003,2250,1.9060587882995605,0.2,-2.324715346097946,0.11484375,0.013409031
388,239.45692459000006,357.91,15,464896,3,7.999852049350738,0.9576457738876343,-0.0005512104224180802,0.7728116512298584,0.0003,2260,3.229414939880371,0.2,-2.321119177341461,0.108349609375,0.0052826623
537,239.34184506000003,357.34,15,466944,4,6.890769970417023,0.9384555816650391,-0.006235718808602542,0.7724242210388184,0.0003,2270,2.452956199645996,0.2,-2.3192852079868316,0.08349609375,0.00717851
657,240.05495853000005,355.42,15,468992,5,9.958915174007416,0.9466590881347656,-0.0038362831226550044,0.7686396837234497,0.0003,2280,5.101050853729248,0.2,-2.314524072408676,0.093359375,0.013193266
791,240.57863826000002,349.78,15,471040,6,4.359890049695968,0.967367947101593,-0.004052492970367893,0.7631934881210327,0.0003,2290,1.6666815280914307,0.2,-2.300649178028107,0.09169921875,0.010953366
919,240.67001794,349.65,15,473088,7,12.501823043823242,0.9271026849746704,-0.0051438799273455516,0.7579895257949829,0.0003,2300,3.7988057136535645,0.2,-2.2886767983436584,0.05419921875,0.005390168
1056,240.79486348999998,349.07,15,475136,8,15.082703816890717,0.9348140358924866,-0.004123485489981249,0.7549978494644165,0.0003,2310,3.722352981567383,0.2,-2.2757490813732146,0.0408203125,0.0038222605
,,,,,,33.19445323944092,0.9757609963417053,-0.005276459304150194,0.7548801898956299,0.0003,2320,10.446978569030762,0.2,-2.2713256776332855,0.044677734375,0.0069649713
