time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss
624640,241.07937214999995,125,1,331.0,16,,,,,,,,,,,
626688,241.12365962,262,2,330.85,15,0.9537971615791321,-0.006547344976570457,0.6989355683326721,0.0071777077,0.2,3050,4.071699696779251,0.0003,0.091845703125,-2.0996537148952483,1.9305285215377808
628736,241.25027910000006,387,3,329.31,15,0.96767258644104,-0.002432728430721909,0.6985801458358765,0.005249246,0.2,3060,5.6697884678840635,0.0003,0.043212890625,-2.095660537481308,2.6544928550720215
630784,240.229662,519,4,336.15,15,0.7296158075332642,-0.0057895572914276276,0.7002197504043579,0.0059631183,0.2,3070,30.482277202606202,0.0003,0.049755859375,-2.0952731132507325,12.38394546508789
632832,239.75329534,652,5,338.33,15,0.7348194718360901,-0.007764379534637556,0.70145183801651,0.0060370713,0.2,3080,34.182659196853635,0.0003,0.060400390625,-2.1001820802688598,13.83799934387207
634880,239.55225373000002,789,6,340.05,15,0.808447003364563,-0.0027154036331921818,0.6981090307235718,0.0049402965,0.2,3090,21.398933553695677,0.0003,0.03232421875,-2.0980673313140867,8.227682113647461
636928,239.15899111999997,932,7,341.2,15,0.8363136649131775,-0.00412427655828651,0.6974867582321167,0.006574229,0.2,3100,21.011864137649535,0.0003,0.073046875,-2.090739142894745,8.162394523620605
638976,238.83643609000003,1066,8,341.67,15,0.8468008637428284,-0.0035548116837162526,0.6982671022415161,0.004791387,0.2,3110,20.302909278869627,0.0003,0.05654296875,-2.090949481725693,7.838006973266602
,,,,,,0.8706305027008057,-0.0037421451532281937,0.6970047950744629,0.0073874705,0.2,3120,15.840068602561951,0.0003,0.080322265625,-2.0910338342189787,7.513575077056885
