rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss
511.54,1,124,16,378880,191.23710410999996,,,,,,,,,,,
500.63,2,245,16,380928,194.64807154999994,0.0003,0.6650513410568237,-2.4748899936676025,0.00816538,46.86563377380371,0.8342324495315552,0.2,0.0908203125,-0.00892197546781972,1850,17.380691528320312
498.82,3,391,15,382976,195.28923501,0.0003,0.7987051606178284,-2.47457674741745,0.0071119457,36.204341077804564,0.8341824412345886,0.2,0.09755859375,-0.009340114332735539,1860,14.512187957763672
506.46,4,514,15,385024,193.28244804000002,0.0003,0.8272267580032349,-2.474730449914932,0.009844798,48.4224488735199,0.8341947793960571,0.2,0.069189453125,-0.006325222179293632,1870,21.73255729675293
493.2,5,653,15,387072,196.84241525000002,0.0003,0.8188728094100952,-2.471682977676392,0.0073281103,36.28761882781983,0.8311946988105774,0.2,0.055615234375,-0.0057104139472357925,1880,11.487688064575195
477.52,6,791,15,389120,200.53470108,0.0003,0.7056883573532104,-2.4649547576904296,0.0057444046,43.42310962677002,0.8291124105453491,0.2,0.05361328125,-0.004519785853335634,1890,18.99945831298828
465.7,7,922,15,391168,203.71347213,0.0003,0.724419355392456,-2.4601741254329683,0.0069025382,32.519547843933104,0.827755331993103,0.2,0.059375,-0.007980350370053202,1900,11.317893981933594
449.53,8,1055,15,393216,206.25864,0.0003,0.9095406532287598,-2.4553864717483522,0.007743885,16.25151982307434,0.8233448266983032,0.2,0.049365234375,-0.0041005192557349805,1910,7.218270301818848
,,,,,,0.0003,0.906948447227478,-2.442853480577469,0.006497721,18.33068926334381,0.8189493417739868,0.2,0.068701171875,-0.003911181649891659,1920,8.170638084411621
