time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/loss,train/std,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
16384,67,1,244,,,,,,,,,,,,,
32768,104,2,314,-0.004800948336924194,0.6376422643661499,0.9763927459716797,0.0003,-2.8033263199031353,1.9248297207057476,10,0.04302716255187988,0.005935201,0.2,0.03980712890625,,
49152,140,3,349,-0.0034730127881630324,0.8517889976501465,0.9640403985977173,0.0003,-2.776057877391577,2.236424765363336,20,0.3994501233100891,0.0052452413,0.2,0.027435302734375,1200.0,-218.90779878125
65536,177,4,368,-0.004518386400741292,1.1423096656799316,0.9568443894386292,0.0003,-2.7576906770467757,3.08999914675951,30,0.37871527671813965,0.005240786,0.2,0.03553466796875,1200.0,-218.90779878125
81920,214,5,381,-0.006390447440935532,0.7579116225242615,0.9375954866409302,0.0003,-2.726583044230938,1.6938394714146852,40,0.5475039482116699,0.0071208877,0.2,0.068768310546875,1200.0,-181.00151598437503
98304,251,6,391,-0.0038027992413844913,1.2442981004714966,0.9227275848388672,0.0003,-2.6910893924534323,3.0328709851950406,50,0.7275192737579346,0.006510711,0.2,0.0491455078125,1200.0,-181.00151598437503
114688,284,7,403,-0.005819874956796411,0.8201879262924194,0.9027976989746094,0.0003,-2.6527437813580037,1.7851651892066003,60,0.8114362955093384,0.0072838,0.2,0.070123291015625,1200.0,-181.00151598437503
131072,316,8,414,-0.004618912843579892,0.6506035923957825,0.8869057893753052,0.0003,-2.6144483886659144,1.5444746997207404,70,0.7180012464523315,0.0064341417,0.2,0.061224365234375,1200.0,-154.02316359375
147456,345,9,427,-0.0038420092125306836,0.7985012531280518,0.8766083717346191,0.0003,-2.5855008997023106,2.164082906022668,80,0.7054109573364258,0.0056280596,0.2,0.0653076171875,1200.0,-154.02316359375
163840,371,10,440,-0.005055960187019082,0.6720743775367737,0.8620319962501526,0.0003,-2.5581639856100082,1.7418759260326624,90,0.8050898313522339,0.0068664383,0.2,0.0625244140625,1191.81,-91.91683684
180224,397,11,453,-0.00208550358802313,16.96246910095215,0.8568390607833862,0.0003,-2.535568180680275,64.93688940405846,100,0.1026565432548523,0.00416953,0.2,0.02872314453125,1184.91,-82.84867942000001
196608,419,12,468,-0.004623806969175348,2.162029266357422,0.8463391661643982,0.0003,-2.5166180685162542,12.577851271629333,110,0.6963151693344116,0.0061664423,0.2,0.058453369140625,1154.51,-29.574870369999996
212992,440,13,483,-0.0022500308841699734,31.66507911682129,0.8415314555168152,0.0003,-2.4986132338643072,58.03523278236389,120,0.4878040552139282,0.0048059346,0.2,0.0257568359375,1132.47,-10.25422441
229376,461,14,496,-0.0031009340033051557,8.467414855957031,0.8369108438491821,0.0003,-2.4866458877921103,25.04253569841385,130,0.6442145109176636,0.0064851204,0.2,0.052655029296875,1079.48,31.621299129999997
245760,482,15,509,-0.0021784435943118297,25.969083786010742,0.8355017900466919,0.0003,-2.4802960366010667,55.06155611872673,140,0.5831500291824341,0.0040517943,0.2,0.032330322265625,1022.58,56.60685051999999
262144,502,16,521,-0.0022674355077469954,16.934829711914062,0.8297070264816284,0.0003,-2.4708465442061422,36.69425158202648,150,0.7667171955108643,0.00519335,0.2,0.03427734375,974.74,90.76531229000003
278528,523,17,532,-0.0029719728488998955,11.181571960449219,0.8237273097038269,0.0003,-2.457443680614233,34.24959074258804,160,0.7572964429855347,0.006130073,0.2,0.049188232421875,941.05,98.74399047000003
294912,545,18,540,-0.002528476167935878,12.556112289428711,0.8163893222808838,0.0003,-2.44170488268137,29.795455822348593,170,0.7062139511108398,0.0047180178,0.2,0.03863525390625,877.1,128.0186943
311296,570,19,546,-0.003954200651787687,18.826974868774414,0.8091681003570557,0.0003,-2.423785587400198,41.35705062747002,180,0.7587966918945312,0.0050076805,0.2,0.046282958984375,826.72,146.4116233
327680,591,20,554,-0.0024477192680933514,17.8438720703125,0.804121732711792,0.0003,-2.4078129827976227,43.170070570707324,190,0.7537779808044434,0.005322015,0.2,0.03939208984375,797.3,151.99745003
344064,617,21,556,-0.004267033452924807,11.882742881774902,0.8015422821044922,0.0003,-2.3991593807935714,26.756470242142676,200,0.8598463535308838,0.006596952,0.2,0.058770751953125,775.6,158.8191979
360448,649,22,555,-0.003166651839273982,17.801969528198242,0.7951104640960693,0.0003,-2.387392368912697,44.886917650699615,210,0.7841160297393799,0.0046515074,0.2,0.04617919921875,761.74,158.97408659
376832,671,23,561,-0.002667956105142366,14.645966529846191,0.7904791831970215,0.0003,-2.3717880100011826,38.08269826769829,220,0.8169747591018677,0.007271006,0.2,0.065631103515625,718.1,172.94159191999998
393216,692,24,568,-0.003514430043287575,20.19487190246582,0.7790707349777222,0.0003,-2.352381046116352,32.467412161827085,230,0.8595474362373352,0.0072106905,0.2,0.064373779296875,702.36,174.56137415999999
409600,713,25,573,-0.0025526878074742855,11.892044067382812,0.7745764255523682,0.0003,-2.3336511380970477,29.598911893367767,240,0.8533306121826172,0.007912468,0.2,0.064385986328125,681.27,180.48868867000002
425984,735,26,579,-0.0030622282189142424,10.271307945251465,0.7694759368896484,0.0003,-2.3203637443482874,22.863910841941834,250,0.8983021974563599,0.006108087,0.2,0.06563720703125,666.04,186.16939726999993
442368,758,27,583,-0.003640170157450484,11.189197540283203,0.7597787380218506,0.0003,-2.298983847349882,22.147370952367783,260,0.8901053071022034,0.0058268746,0.2,0.062738037109375,642.22,189.80068868000006
458752,779,28,588,-0.003314976730325725,7.448441982269287,0.7570368051528931,0.0003,-2.2850221402943136,21.265371829271317,270,0.9026648998260498,0.006507661,0.2,0.07762451171875,623.35,191.98675784000002
475136,801,29,592,-0.002124052815634059,12.57487964630127,0.7544776201248169,0.0003,-2.2777630507946016,21.972759315371512,280,0.911451518535614,0.0055035613,0.2,0.062493896484375,615.77,190.52453578
491520,821,30,598,-0.002573751504678512,5.333926677703857,0.7545953392982483,0.0003,-2.272459379583597,22.141715040802957,290,0.9158629775047302,0.006761999,0.2,0.06470947265625,610.25,190.91262407999994
507904,842,31,602,-0.001566439511225326,20.497966766357422,0.7529940605163574,0.0003,-2.2722982831299303,34.1197985291481,300,0.8739422559738159,0.005403541,0.2,0.052459716796875,604.53,194.19630944999997
524288,863,32,607,-0.0029920164728537203,7.053534030914307,0.7470381259918213,0.0003,-2.2608425728976727,20.14512396156788,310,0.9374392032623291,0.006235799,0.2,0.077471923828125,610.09,192.81648033999997
540672,881,33,613,-0.0029858970192435663,10.60568904876709,0.7443394660949707,0.0003,-2.248127576708794,26.989352348446847,320,0.8814011812210083,0.0058873813,0.2,0.0741943359375,606.81,194.81159705000002
557056,902,34,617,-0.001539581218821695,12.759437561035156,0.7397009134292603,0.0003,-2.2407761074602606,20.05124827027321,330,0.9250857830047607,0.0072067967,0.2,0.0780029296875,586.67,200.56623850000003
573440,921,35,622,-0.002216794677951839,5.522861003875732,0.7339296340942383,0.0003,-2.226638451218605,10.832606969773769,340,0.9593336582183838,0.008640696,0.2,0.08895263671875,573.51,205.89669978999999
589824,941,36,626,-0.0011528027815074892,9.331088066101074,0.7230550646781921,0.0003,-2.2031942166388037,20.028164064884187,350,0.9178992509841919,0.0057601933,0.2,0.07581787109375,553.67,211.04091595999998
606208,960,37,630,-0.004663207123667234,3.7356295585632324,0.7111270427703857,0.0003,-2.168790642172098,12.034985348582268,360,0.9532297849655151,0.0075683435,0.2,0.079791259765625,546.75,214.68556485999997
622592,980,38,635,-0.0022953163788770325,13.946492195129395,0.7090595364570618,0.0003,-2.1513975881040097,22.74862549006939,370,0.9083293676376343,0.0073864083,0.2,0.0731201171875,546.59,215.58550595999995
638976,999,39,639,-0.003236481064232066,6.691977500915527,0.7063142657279968,0.0003,-2.1466314770281314,12.368288436532021,380,0.9485827088356018,0.010775899,0.2,0.08914794921875,542.92,216.93559665
655360,1018,40,643,-0.002749395121645648,8.130655288696289,0.7020221948623657,0.0003,-2.135610443353653,14.419467478990555,390,0.9348950386047363,0.005915856,0.2,0.0828857421875,526.76,219.43487951999998
671744,1036,41,647,-0.002914326840254944,6.824092864990234,0.6959934234619141,0.0003,-2.1197031930089,14.672706647217273,400,0.9338730573654175,0.009814354,0.2,0.09150390625,528.44,218.22048501000006
