rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/clip_range
337.72,772096,1,235.81766720000005,125,16,,,,,,,,,,,
337.1,774144,2,235.97972937999998,259,15,0.9861447811126709,0.011415044,1.5338442355394364,-0.0013537645689211785,-1.9079128473997116,0.6482300758361816,0.12509765625,0.0003,0.4376398026943207,3770,0.2
346.21,776192,3,233.33941254,387,15,0.9234039783477783,0.0043787723,39.69325766563416,-0.00251273030298762,-1.9095904499292373,0.6485574841499329,0.072705078125,0.0003,23.56829833984375,3780,0.2
348.0,778240,4,232.99645345000002,525,15,0.7685939073562622,0.00561639,39.95209608078003,-0.005227061145706102,-1.9088305860757828,0.6480311751365662,0.032080078125,0.0003,10.281708717346191,3790,0.2
347.66,780288,5,232.97761751,660,15,0.8571935296058655,0.008361132,37.35107619762421,-0.00348569581983611,-1.9067496180534362,0.6480046510696411,0.06396484375,0.0003,19.86749839782715,3800,0.2
348.05,782336,6,232.70509723999996,779,15,0.9077938795089722,0.0054129893,66.130295753479,-0.0011716674955096096,-1.90687595307827,0.6481152176856995,0.01875,0.0003,24.65838050842285,3810,0.2
365.93,784384,7,223.30889181999999,900,15,0.9632670283317566,0.008826555,31.98456220626831,-0.003901422061608173,-1.9072707146406174,0.6483193039894104,0.05068359375,0.0003,10.070768356323242,3820,0.2
375.78,786432,8,219.95495936000003,1034,15,0.9841213822364807,0.007141322,13.692020177841187,-0.005528350861277431,-1.9089400917291641,0.649200975894928,0.060693359375,0.0003,4.6572418212890625,3830,0.2
,,,,,,0.8264628052711487,0.004509961,77.12076120376587,-0.002536111616063863,-1.9098029524087905,0.64858078956604,0.025,0.0003,27.280597686767578,3840,0.2
