time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/value_loss
126,16,657408,1,358.03,230.81455873000002,,,,,,,,,,,
269,15,659456,2,361.67,229.97961482,-2.0856585085391997,0.0070500635,-0.004330522118834779,0.8877100944519043,0.6985116004943848,0.0003,0.2,0.059814453125,3210,4.725790500640869,28.35315148830414
407,15,661504,3,361.48,230.22677959,-2.0876014828681946,0.0068248175,-0.0024590217450167983,0.9631473422050476,0.6990070343017578,0.0003,0.2,0.038037109375,3220,2.661879062652588,10.411743938922882
541,15,663552,4,361.16,230.64259674000004,-2.087220048904419,0.005486396,-0.001310937840025872,0.9595841765403748,0.6973162889480591,0.0003,0.2,0.056591796875,3230,1.7432278394699097,4.151255625486374
680,15,665600,5,360.61,230.64931994,-2.0815469920635223,0.011947451,-0.0028476114675868303,0.9804062247276306,0.6953277587890625,0.0003,0.2,0.0564453125,3240,0.8331140875816345,2.9359607309103013
812,15,667648,6,353.59,231.85948838999997,-2.0784536778926848,0.005841482,-0.0007797580969054252,0.9848577380180359,0.6942158937454224,0.0003,0.2,0.142431640625,3250,0.9377256631851196,2.85534553527832
945,15,669696,7,350.86,232.36825837,-2.0748901307582854,0.008241922,-0.002135899371933192,0.9872115850448608,0.6938725709915161,0.0003,0.2,0.061083984375,3260,0.7127851247787476,1.9859188228845597
1072,15,671744,8,350.89,232.45845860999995,-2.0741180777549744,0.0047426615,-0.0025784368976019324,0.8192654252052307,0.6939677000045776,0.0003,0.2,0.044921875,3270,6.113572120666504,38.15930171012879
,,,,,,-2.074398308992386,0.0039723245,-0.0032521986402571203,0.9725526571273804,0.6937207579612732,0.0003,0.2,0.032421875,3280,6.10759973526001,29.61142177581787
