time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/n_updates,train/explained_variance,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss
2048,17,1,120,,,,,,,,,,,
,,,,10,0.06099975109100342,0.048659827560186386,0.2,0.0003,0.0057133078,0.9907467365264893,-2.8292879104614257,0.068896484375,-0.008123604662250728,0.4580236703157425
