rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/approx_kl
380.47,1,15,952320,235.64954446000004,135,,,,,,,,,,,
356.61,2,14,954368,242.58893196999998,279,0.2,0.0003,4650,0.8117378354072571,0.634892463684082,3.6781609058380127,-1.848495638370514,-0.0009618942509405315,0.01630859375,13.321760547161102,0.005319075
358.17,3,15,956416,242.53290509,397,0.2,0.0003,4660,0.8747379779815674,0.6351358890533447,5.485232830047607,-1.848638877272606,-0.003896822012029588,0.056982421875,35.93041484355926,0.004975411
369.76,4,15,958464,237.37514554,529,0.2,0.0003,4670,0.7897701859474182,0.6345539093017578,29.612613677978516,-1.8486737430095672,-0.0032555155572481453,0.0341796875,88.72676401138305,0.0054089613
378.07,5,15,960512,235.38065152000001,662,0.2,0.0003,4680,0.928109884262085,0.6339576244354248,17.55645751953125,-1.847670030593872,-0.0048916001804172994,0.0595703125,52.597245121002196,0.0053813
377.72,6,15,962560,235.4520226,801,0.2,0.0003,4690,0.8288460969924927,0.6334295272827148,24.716121673583984,-1.8464238435029983,-0.0025584577713743785,0.03994140625,62.29471645355225,0.0045532435
379.56,7,15,964608,235.2660687,940,0.2,0.0003,4700,0.8947567939758301,0.6309531331062317,11.88903522491455,-1.839403685927391,-0.007836772775044664,0.096435546875,33.34234533309937,0.009244679
376.35,8,15,966656,235.51198896999998,1069,0.2,0.0003,4710,0.764714241027832,0.6295619010925293,17.250789642333984,-1.8308655560016631,-0.0017963818638236262,0.151318359375,56.311474895477296,0.009983152
,,,,,,0.2,0.0003,4720,0.8708300590515137,0.6286231279373169,17.705493927001953,-1.8292548149824142,-0.0032168953563086688,0.068603515625,66.37927637100219,0.008826518
