time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/approx_kl
1,119,347.89,886784,17,239.95485918000003,,,,,,,,,,,
2,252,345.98,888832,16,240.37020708999998,7.00237512588501,0.015478515625,4330,0.0003,0.2,-0.0024048980500083416,-1.8767912983894348,21.02217502593994,0.8968157768249512,0.6457450985908508,0.0049493434
3,390,354.99,890880,15,236.64831220000005,3.7488160133361816,0.054052734375,4340,0.0003,0.2,-0.0063349450589157644,-1.8752299070358276,16.708987617492674,0.9671488404273987,0.6456373333930969,0.009109794
4,516,352.85,892928,15,236.94607846000005,26.39105987548828,0.05751953125,4350,0.0003,0.2,-0.005523284070659429,-1.8739800572395324,43.249160814285275,0.927675724029541,0.6446548700332642,0.0064142696
5,641,362.15,894976,15,233.61004906999997,1.9766740798950195,0.07041015625,4360,0.0003,0.2,-0.004698945142445154,-1.8717741400003434,6.724479568004608,0.9889628887176514,0.6433771848678589,0.004952927
6,771,362.16,897024,15,233.59751170999996,15.035680770874023,0.121484375,4370,0.0003,0.2,-0.0019102367339655757,-1.8661637127399444,24.31962647438049,0.9722622036933899,0.6407730579376221,0.004534376
7,911,362.55,899072,15,232.51059393000006,2.831780433654785,0.0900390625,4380,0.0003,0.2,-0.00613693572813645,-1.8638575553894043,6.849201321601868,0.9898052215576172,0.6423431634902954,0.011823876
8,1047,351.07,901120,15,234.05478384000006,2.386291265487671,0.252099609375,4390,0.0003,0.2,-0.002371694624889642,-1.8661075949668884,9.00327610373497,0.9291865229606628,0.6409143209457397,0.0063269003
,,,,,,2.1934092044830322,0.110791015625,4400,0.0003,0.2,-0.00739087708061561,-1.8644642263650895,5.743301236629486,0.9606819748878479,0.641374409198761,0.006966647
