checkpoint_timesteps,actual_model_timesteps,episodes,median_return,mean_return,success_rate
0,0,10,-12.323326724981023,-12.41108804717692,0.0
16384,16384,10,-12.323326724981023,-12.41108804717692,0.0
32768,32768,10,-72.74172023497559,-72.09940177644435,0.0
49152,49152,10,-44.021474882779174,-41.99842563762659,0.0
65536,65536,10,-75.34649391820824,-74.04168008540604,0.0
81920,81920,10,-57.5877229622253,-93.76268846559698,0.0
98304,98304,10,11.445333627749765,-10.66864234205459,0.0
114688,114688,10,43.39768011897267,51.73797415376583,0.1
131072,131072,10,203.8892130350142,152.55677278512005,0.7
147456,147456,10,206.57262405057375,202.48145672188312,1.0
163840,163840,10,56.81498385576454,69.57056819557341,0.1
180224,180224,10,18.186089444940315,73.35017508228097,0.4
196608,196608,10,3.1546795733168427,50.030172156552965,0.3
212992,212992,10,-58.298730418812134,-58.463900191685596,0.0
229376,229376,10,-187.41549400881775,-138.72737259445734,0.0
245760,245760,10,-95.55862302704944,-78.12471831496907,0.0
262144,262144,10,-93.26098609337018,-76.37267821546706,0.0
278528,278528,10,-30.65660261789444,-14.494543083985803,0.2
294912,294912,10,-83.02359953424478,-84.40321821661009,0.0
311296,311296,10,-17.884793702292,-15.0250797238326,0.3
327680,327680,10,-68.82334149041465,-19.959598151721742,0.3
344064,344064,10,-71.66735400261521,-67.55680980256126,0.4
360448,360448,10,-16.381590226911094,-6.098581548478376,0.5
376832,376832,10,-30.354112384714384,-26.370781022484085,0.4
393216,393216,10,-16.811894714827098,-11.226674774513247,0.3
409600,409600,10,-40.991381593216474,-12.465855332075616,0.3
425984,425984,10,132.60189934242638,100.6552028464959,0.8
442368,442368,10,-22.69001116073597,13.086290306620532,0.4
458752,458752,10,169.95923216210133,86.90210522042176,0.6
475136,475136,10,77.86110256229321,48.90855500563208,0.5
491520,491520,10,-7.568259962990027,15.750870427274203,0.2
507904,507904,10,-6.058817838800586,-16.542319795410066,0.1
