device,batch_size,numerics_mode,measurement_class,sample_vector_steps,sample_aggregate_environment_steps,measured_wall_clock_s,steps_per_second,ms_per_step,ms_per_environment_step,bridge_overhead_ms,bridge_overhead_status,memory_used_bytes,memory_status,estimated_wall_clock_per_rollout_s,estimated_full_protocol_wall_clock_s,estimate_assumption,speedup_over_scalar
cuda,2,float64,heuristic-pilot-extrapolation,16,32,0.08384165912866592,381.6718363229411,5.24010369554162,2.62005184777081,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.572031108662486,20.43640441261232,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.05307769486253489
cuda,4,float64,heuristic-pilot-extrapolation,16,64,0.08352277427911758,766.2580721531579,5.220173392444849,1.3050433481112123,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5660520177334547,20.35867623053491,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.10656068451769843
cuda,8,float64,heuristic-pilot-extrapolation,16,128,0.08345040678977966,1533.8451293885894,5.215650424361229,0.6519563030451536,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5646951273083687,20.341036655008793,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.21330618609015617
cuda,16,float64,heuristic-pilot-extrapolation,16,256,0.08366415277123451,3059.8528942256635,5.229009548202157,0.3268130967626348,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.568702864460647,20.393137237988412,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.4255224587924149
cuda,32,float64,heuristic-pilot-extrapolation,16,512,0.08389384672045708,6102.950574027635,5.243365420028567,0.16385516937589273,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5730096260085702,20.449125138111413,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.8487148316997801
cuda,64,float64,heuristic-pilot-extrapolation,16,1024,0.08430701121687889,12146.083525197813,5.269188201054931,0.08233106564148329,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5807564603164792,20.54983398411423,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,1.689111047166258
cuda,128,float64,heuristic-pilot-extrapolation,16,2048,0.08421704918146133,24318.116342300265,5.263565573841333,0.04112160604563542,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5790696721524,20.5279057379812,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,3.38183076666968
cuda,256,float64,heuristic-pilot-extrapolation,16,4096,0.08422540873289108,48631.405434788474,5.264088045805693,0.020562843928928487,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5792264137417078,20.5299433786422,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,6.7629902255084815
cuda,512,float64,heuristic-pilot-extrapolation,16,8192,0.08425366505980492,97230.19163837153,5.265854066237807,0.010284871223120717,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5797562198713422,20.53683085832745,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,13.52144421481664
cuda,1024,float64,heuristic-pilot-extrapolation,16,16384,0.08431604132056236,194316.5232071254,5.269752582535148,0.00514624275638198,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5809257747605443,20.552035071887076,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,27.02288234023556
cuda,2048,float64,heuristic-pilot-extrapolation,16,32768,0.08484290540218353,386219.68265547726,5.302681587636471,0.0025891999939631205,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5908044762909412,20.680458191782236,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,53.71014708181735
cuda,4096,float64,heuristic-pilot-extrapolation,16,65536,0.08478447049856186,772971.7437005359,5.299029406160116,0.0012937083511133096,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.5897088218480349,20.666214684024453,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,107.49433006312846
cuda,8192,float64,heuristic-pilot-extrapolation,16,131072,0.08675700426101685,1510794.4438198581,5.422312766313553,0.0006619034138566349,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,1.6266938298940659,21.147019788622856,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,210.10061224751576
