device,batch_size,numerics_mode,measurement_class,sample_vector_steps,sample_aggregate_environment_steps,measured_wall_clock_s,steps_per_second,ms_per_step,ms_per_environment_step,bridge_overhead_ms,bridge_overhead_status,memory_used_bytes,memory_status,estimated_wall_clock_per_rollout_s,estimated_full_protocol_wall_clock_s,estimate_assumption,speedup_over_scalar
cpu,1,float64,heuristic-pilot-extrapolation,16,16,0.01400904101319611,1142.1195772735953,0.8755650633247569,0.8755650633247569,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,0.2626695189974271,3.414703746966552,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.06943437449313847
cpu,2,float64,heuristic-pilot-extrapolation,16,32,0.02217337494948879,1443.1722763402674,1.3858359343430493,0.6929179671715247,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,0.4157507803029148,5.404760143937892,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.08773666635916609
cpu,4,float64,heuristic-pilot-extrapolation,16,64,0.01814966695383191,3526.2355040893895,1.1343541846144944,0.2835885461536236,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,0.34030625538434833,4.423981319996528,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.21437506318420418
mps,1,float32,heuristic-pilot-extrapolation,16,16,0.12627116701332852,126.71142889105573,7.891947938333033,7.891947938333033,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,2.36758438149991,30.778596959498827,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.007703334205324328
mps,2,float32,heuristic-pilot-extrapolation,16,32,0.13447362498845905,237.96487975055584,8.40460156177869,4.202300780889345,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,2.521380468533607,32.777946090936894,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.014466911263580132
mps,4,float32,heuristic-pilot-extrapolation,16,64,0.139292000036221,459.46644447174043,8.705750002263812,2.176437500565953,,deferred: bridge is not isolated by the tensor backend,,deferred: portable allocator accounting is not implemented,2.6117250006791437,33.95242500882887,linear steady-state scaling from the timed vector steps; excludes initialization and later-run thermal/allocator effects,0.02793294660847873
