run_id,seed,simulator,vehicle,task_id,task_portable,policy_id,algorithm,return,success,episode_length,wall_clock_s,termination_reason,collision_type,host_class
test__test__PPO-deterministic__seed-42176,42176,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,43.29473886654026,False,3000,309.49312170792837,timeout,none,local
test__test__PPO-deterministic__seed-42177,42177,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-327.8427677052581,False,3000,311.10258179192897,timeout,none,local
test__test__PPO-deterministic__seed-42178,42178,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-462.43562906104296,False,3000,309.1422545420937,timeout,none,local
test__test__PPO-deterministic__seed-42179,42179,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-270.6310607661792,False,3000,309.2846868339693,timeout,none,local
test__test__PPO-deterministic__seed-42180,42180,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,170.6851936082166,True,2788,287.2599162909901,success,none,local
test__test__PPO-deterministic__seed-42181,42181,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-844.0481292235866,False,3000,309.2189805840608,timeout,none,local
test__test__PPO-deterministic__seed-42182,42182,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,45.67036659206819,False,3000,308.4089709580876,timeout,none,local
test__test__PPO-deterministic__seed-42183,42183,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-19.43979117990184,False,3000,309.03361312497873,timeout,none,local
test__test__PPO-deterministic__seed-42184,42184,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,40.66917449359947,False,3000,311.5777435840573,timeout,none,local
test__test__PPO-deterministic__seed-42185,42185,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-38.48549911524819,False,3000,309.16248695901595,timeout,none,local
test__test__PPO-deterministic__seed-42186,42186,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,48.08668675833368,False,3000,309.24420187505893,timeout,none,local
test__test__PPO-deterministic__seed-42187,42187,test,test,common-waypoint-transit-v1,True,PPO-deterministic,PPO,-514.3807952535185,False,3000,307.68767374998424,timeout,none,local
