time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,train/entropy_loss
1,123,237.00809561000003,968704,366.49,16,,,,,,,,,,,
2,255,237.17243201999997,970752,365.99,16,4730,0.2,0.0063033267,0.7388392686843872,17.04238315820694,0.6291844844818115,0.05927734375,-0.0007622528952197172,0.0003,5.33945369720459,-1.8276823073625565
3,375,236.41847149,972800,370.19,16,4740,0.2,0.0042467806,0.7601360082626343,67.40333795547485,0.629808247089386,0.0279296875,-0.0022570803062990307,0.0003,23.04010581970215,-1.8298219472169877
4,508,235.38579158000002,974848,379.66,16,4750,0.2,0.008880453,0.8525471687316895,37.62761611938477,0.6285684108734131,0.0875,-0.0029437448421958832,0.0003,17.250173568725586,-1.8297844886779786
5,638,235.38137721999996,976896,380.25,16,4760,0.2,0.004874234,0.8383486866950989,73.09639568328858,0.6276684999465942,0.057568359375,-0.0029927855648566037,0.0003,35.091575622558594,-1.827174612879753
6,773,235.38019649,978944,381.6,15,4770,0.2,0.010086151,0.742642879486084,33.76218128204346,0.6290943622589111,0.093798828125,-0.005112976097734645,0.0003,22.27294158935547,-1.8265607088804245
7,907,235.00391544000004,980992,385.18,15,4780,0.2,0.0066855066,0.8674113750457764,32.35857021808624,0.6294924020767212,0.067529296875,-0.0028281955048441885,0.0003,17.622947692871094,-1.8311204373836518
8,1034,234.11925053,983040,389.71,15,4790,0.2,0.0031870003,0.8666083812713623,35.49407405853272,0.6304848194122314,0.057470703125,-0.0025477466348093,0.0003,14.169612884521484,-1.8302540749311447
,,,,,,4800,0.2,0.0070276503,0.725091814994812,80.26753149032592,0.6305680274963379,0.055419921875,-0.0033174841140862555,0.0003,34.3802490234375,-1.8314440339803695
