time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/std,train/entropy_loss
17,354.64,237.12904568000002,870400,1,119,,,,,,,,,,,
15,354.44,237.10818888999998,872448,2,258,0.012710568,0.08369140625,0.0003,0.2,0.5990779995918274,4250,0.9582093358039856,-0.0024866921652574093,2.918022099137306,0.6370076537132263,-1.8583109766244887
16,358.21,236.84755463,874496,3,380,0.0040579922,0.051611328125,0.0003,0.2,8.400582313537598,4260,0.8438493013381958,-0.0021481689647771416,25.407098650932312,0.6410201787948608,-1.8622256606817245
15,358.67,236.59494879999994,876544,4,512,0.0070055835,0.082275390625,0.0003,0.2,8.157736778259277,4270,0.8885895609855652,-0.00521583478548564,21.949770307540895,0.6419863700866699,-1.8699934244155885
15,357.46,236.56270330999996,878592,5,650,0.003952993,0.04794921875,0.0003,0.2,2.793234348297119,4280,0.9428456425666809,-0.001590411434881389,9.00107183456421,0.6381608843803406,-1.8630694448947906
15,357.63,236.6046936,880640,6,783,0.0136373155,0.135888671875,0.0003,0.2,0.8632946610450745,4290,0.9857646226882935,-0.0011705714859999716,2.057779762148857,0.6366965770721436,-1.8528529077768325
15,357.91,236.69874232,882688,7,938,0.0119787,0.100146484375,0.0003,0.2,0.6105022430419922,4300,0.9733900427818298,-0.0037966529955156146,3.2132041305303574,0.6400191783905029,-1.8555027544498444
15,350.36,239.66410867000002,884736,8,1066,0.0072332434,0.120556640625,0.0003,0.2,1.1960387229919434,4310,0.977808952331543,-0.002516772405942902,3.8515985310077667,0.643668532371521,-1.8669331640005111
,,,,,,0.0038206235,0.0998046875,0.0003,0.2,7.265479564666748,4320,0.7976202368736267,-0.005421884433599189,24.89964666366577,0.6454634070396423,-1.8754107087850571
