time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl
1,-246.666220875,1200.0,19,107,34816,,,,,,,,,,,
2,-246.666220875,1200.0,18,223,36864,0.2,0.9681740999221802,-0.0009080762916710228,0.00927734375,170,-2.772851812839508,36.18317551612854,0.0003,13.239949226379395,0.3579084277153015,0.0033741
3,-296.3635742857142,1200.0,18,341,38912,0.2,0.9683369398117065,-0.00018943508621305227,0.0,180,-2.773315292596817,69.21417579650878,0.0003,24.710662841796875,0.6538310647010803,0.00032290755
4,-296.3635742857142,1200.0,17,462,40960,0.2,0.9683927297592163,-0.0009906914841849358,0.0001953125,190,-2.7736353456974028,29.128308248519897,0.0003,12.89060115814209,0.2846578359603882,0.0012910224
5,-296.16910665625,1200.0,17,584,43008,0.2,0.968055248260498,-0.0018926994525827467,0.018359375,200,-2.7734350621700288,24.369138336181642,0.0003,10.691520690917969,0.7556359171867371,0.006297396
6,-296.16910665625,1200.0,17,702,45056,0.2,0.9685609340667725,-0.0002275790786370635,0.0,210,-2.7732007682323454,35.16849894523621,0.0003,14.002952575683594,0.6482146382331848,0.0008086937
7,-296.16910665625,1200.0,17,821,47104,0.2,0.9680631756782532,-0.00516417607141193,0.05126953125,220,-2.773793560266495,8.936263751983642,0.0003,3.449831247329712,0.5517634749412537,0.0061449576
8,-286.9393046111111,1200.0,17,938,49152,0.2,0.9676288366317749,-0.0009126048185862601,0.003369140625,230,-2.772459453344345,9.293738842010498,0.0003,3.377624988555908,0.8376551866531372,0.0023576517
,,,,,,0.2,0.968499481678009,-0.004169338283827528,0.0349609375,240,-2.7724679112434387,4.382807528972625,0.0003,1.8634814023971558,0.03818327188491821,0.005326663
