rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std
93.13081773999998,143,561.66,524288,1,114,,,,,,,,,,,
120.40772652,258,562.02,540672,2,126,0.047650146484375,34.18379592895508,68.21733720898628,0.2,0.0060945703,320,-2.30267987921834,0.0003,-0.003118365042610094,0.6968422532081604,0.765654444694519
122.79544755000002,374,519.92,557056,3,131,0.0624267578125,15.883682250976562,36.94932416677475,0.2,0.005431385,330,-2.300317461788654,0.0003,-0.004427690089505632,0.8666280508041382,0.7640799283981323
123.10014835,502,557.27,573440,4,130,0.06519775390625,34.802547454833984,77.81093337535859,0.2,0.006492305,340,-2.2942598082125185,0.0003,-0.004028718524932628,0.793366551399231,0.7604331970214844
117.18396306000001,633,569.21,589824,5,129,0.052978515625,25.85980224609375,62.47355548143387,0.2,0.0059760297,350,-2.2875615879893303,0.0003,-0.0037274978443747387,0.8146174550056458,0.7591051459312439
109.20604492000001,762,560.5,606208,6,128,0.051007080078125,58.24205780029297,121.23613717556,0.2,0.005014209,360,-2.2859111592173575,0.0003,-0.004420773176389048,0.7216224670410156,0.7593442797660828
116.11582491000001,883,543.74,622592,7,129,0.053729248046875,28.901119232177734,105.48716758489608,0.2,0.0053624273,370,-2.2803967095911504,0.0003,-0.005055253583122976,0.7748106718063354,0.7564703226089478
127.40720800999999,1001,557.53,638976,8,130,0.056854248046875,29.466333389282227,79.04788575172424,0.2,0.006064393,380,-2.2784366965293885,0.0003,-0.0045963981043314565,0.8042652606964111,0.757762610912323
143.53833025,1133,565.68,655360,9,130,0.064459228515625,15.695377349853516,48.30801374912262,0.2,0.0069934116,390,-2.2758801713585854,0.0003,-0.003958144073840231,0.8505608439445496,0.7535001039505005
155.47808564,1262,554.73,671744,10,129,0.061163330078125,22.23333740234375,68.3083852827549,0.2,0.004996994,400,-2.2705621629953385,0.0003,-0.0035600519098807127,0.8034565448760986,0.7538813948631287
159.47936091,1388,529.1,688128,11,129,0.075244140625,20.971683502197266,54.71868651509285,0.2,0.006034665,410,-2.2672942504286766,0.0003,-0.003060715016181348,0.847227156162262,0.751778781414032
163.8867071,1520,513.05,704512,12,129,0.065325927734375,33.73936080932617,55.671872520446776,0.2,0.0061870874,420,-2.2562501832842825,0.0003,-0.0033955243226955643,0.8438234925270081,0.7457912564277649
165.76863686000002,1653,503.12,720896,13,128,0.093212890625,16.373939514160156,55.290349054336545,0.2,0.009209873,430,-2.2520522885024548,0.0003,-0.004925413801538525,0.8351061344146729,0.7487674951553345
152.68366977000002,1788,483.28,737280,14,128,0.105694580078125,27.93221092224121,52.27519482672214,0.2,0.00850766,440,-2.254844364523888,0.0003,-0.003779405282330117,0.8368327617645264,0.7490668892860413
154.39904966,1919,474.55,753664,15,128,0.046533203125,42.87364959716797,91.34708502292634,0.2,0.0045265,450,-2.251320382207632,0.0003,-0.0034439310162269975,0.8119365572929382,0.7462468147277832
164.65295987000002,2046,485.42,770048,16,128,0.098919677734375,15.249951362609863,58.715948259830476,0.2,0.01079878,460,-2.2433505699038507,0.0003,-0.0034671086468733847,0.8398398160934448,0.7429986000061035
188.79378049000002,2178,490.09,786432,17,127,0.0677734375,22.00394630432129,51.607118231058124,0.2,0.008553133,470,-2.2326671324670313,0.0003,-0.0031269813640392385,0.8620221614837646,0.738136887550354
183.79327475999995,2314,494.85,802816,18,127,0.115740966796875,6.083414077758789,18.321564128994943,0.2,0.009352939,480,-2.228050298988819,0.0003,-0.0040419855606160125,0.9238202571868896,0.7371300458908081
180.90111608000004,2448,474.87,819200,19,127,0.101513671875,17.417951583862305,38.80018078684807,0.2,0.006685056,490,-2.2195943385362624,0.0003,-0.004673889261903241,0.8836379051208496,0.7345988750457764
174.34254262000002,2587,461.39,835584,20,126,0.080914306640625,12.567234992980957,34.196659222245216,0.2,0.008892446,500,-2.213076163083315,0.0003,-0.003375736353700631,0.8942131996154785,0.7330805063247681
178.70701423999998,2711,459.43,851968,21,126,0.06336669921875,18.6043758392334,58.485295748710634,0.2,0.006575914,510,-2.22122126147151,0.0003,-0.0026747457719466182,0.8545238375663757,0.7383215427398682
184.47501210000001,2847,455.93,868352,22,126,0.076800537109375,7.508951187133789,29.376363041996957,0.2,0.0067630606,520,-2.2266114860773087,0.0003,-0.0034222050060634503,0.8859953284263611,0.7386082410812378
197.54708195999996,2983,453.44,884736,23,126,0.100653076171875,18.18924331665039,35.75441030263901,0.2,0.009261092,530,-2.2284639559686186,0.0003,-0.003148984196013771,0.9012784957885742,0.7389346361160278
194.87577033999997,3110,445.89,901120,24,126,0.10108642578125,17.183494567871094,24.161210241913796,0.2,0.010321341,540,-2.2183186404407023,0.0003,-0.002702830273483414,0.9330872893333435,0.7326129674911499
194.47227443,3246,458.72,917504,25,126,0.086962890625,11.984795570373535,22.044317013025285,0.2,0.008984974,550,-2.206119920313358,0.0003,-0.004191693839675281,0.9199200868606567,0.7301608324050903
201.44581337,3380,465.93,933888,26,126,0.075323486328125,20.200088500976562,51.22803438305855,0.2,0.008158301,560,-2.198330596089363,0.0003,-0.0033468859241111205,0.8293941020965576,0.7262436151504517
195.42652139,3510,456.41,950272,27,126,0.064495849609375,12.733366012573242,24.45581461787224,0.2,0.007030046,570,-2.179333432018757,0.0003,-0.0019312758005980868,0.9188084602355957,0.7176361083984375
196.83240519,3643,447.15,966656,28,125,0.095587158203125,26.644140243530273,48.34314621388912,0.2,0.006729839,580,-2.1706723883748054,0.0003,-0.00342024837336794,0.8544358015060425,0.7191493511199951
182.61731245,3792,429.26,983040,29,125,0.082623291015625,18.840801239013672,71.73961520791053,0.2,0.008833436,590,-2.1745398208498954,0.0003,-0.003227679202245781,0.815390944480896,0.717863917350769
196.50163848000008,3923,442.59,999424,30,125,0.08243408203125,24.028539657592773,47.883502542972565,0.2,0.007851327,600,-2.1691621243953705,0.0003,-0.00365394999680575,0.8876168727874756,0.7170973420143127
196.75819730999999,4056,435.39,1015808,31,125,0.12918701171875,5.759036540985107,15.494945588707925,0.2,0.01090554,610,-2.1525702856481077,0.0003,-0.002616875026433263,0.9346126317977905,0.7067610025405884
,,,,,,0.134051513671875,10.981488227844238,20.785557831823827,0.2,0.013634912,620,-2.1214696794748304,0.0003,-0.0028292716298892627,0.9303786754608154,0.6945357322692871
