time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/explained_variance
673792,232.34838029999995,1,115,17,351.65,,,,,,,,,,,
675840,232.25610129999998,2,223,18,352.04,3290,0.6935343742370605,0.0003,0.076416015625,15.203370094299316,0.2,-2.0730850875377653,0.007259328,62.26082515716553,-0.0006263763585593552,0.8963092565536499
677888,221.95264361999998,3,349,17,368.54,3300,0.6936026811599731,0.0003,0.027099609375,5.64008092880249,0.2,-2.073363411426544,0.002520133,25.674577260017394,-0.001885424813372083,0.9832221865653992
679936,221.86297068000005,4,484,16,368.21,3310,0.6931010484695435,0.0003,0.058056640625,3.2114176750183105,0.2,-2.072363096475601,0.0069423197,15.196053099632262,-0.006917244297801517,0.9738065600395203
681984,221.89394690999998,5,606,16,368.24,3320,0.6954771280288696,0.0003,0.074951171875,1.8654314279556274,0.2,-2.0730558931827545,0.0075314045,6.901189827919007,-0.0046320414869114755,0.9460040926933289
684032,218.37231716000002,6,740,16,382.25,3330,0.6966021060943604,0.0003,0.02763671875,19.32599449157715,0.2,-2.0777261316776277,0.0053812875,66.59648113250732,-0.0010989732400048524,0.9256253242492676
686080,218.53077524999998,7,873,16,380.84,3340,0.696262776851654,0.0003,0.04013671875,25.76554298400879,0.2,-2.078134906291962,0.0056230403,82.0651650428772,-0.0022291826287982987,0.9057286381721497
688128,218.74198184,8,1015,16,379.7,3350,0.6948151588439941,0.0003,0.065625,2.5486388206481934,0.2,-2.075282037258148,0.005817244,9.9082111120224,-0.005687865416985005,0.8765451312065125
,,,,,,3360,0.6940101385116577,0.0003,0.054150390625,1.066752314567566,0.2,-2.071274483203888,0.005203284,3.8499962985515594,-0.004499302519252524,0.961836576461792
