time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/learning_rate,train/std,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl
18,-298.01034136000004,111,231424,1,1016.45,,,,,,,,,,,
17,-278.21706382,236,233472,2,1003.84,-2.622178053855896,0.2,0.0003,0.8976696729660034,-0.00422125828335993,0.7748231291770935,21.12953758239746,1130,0.061767578125,41.02720146179199,0.0075954697
17,-289.62874886000003,357,235520,3,1007.43,-2.620738333463669,0.2,0.0003,0.8973391652107239,-0.0012386047455947846,0.9645519852638245,36.909027099609375,1140,0.010546875,89.576868724823,0.0034229376
16,-289.62874886000003,483,237568,4,1007.43,-2.6203944027423858,0.2,0.0003,0.8969078660011292,-0.0017046929686330258,0.973779022693634,16.10777473449707,1150,0.015576171875,40.82186851501465,0.0050862064
16,-306.39703951,606,239616,5,1016.74,-2.619031608104706,0.2,0.0003,0.8961191177368164,-0.003197438025381416,0.9593309164047241,26.36627769470215,1160,0.01357421875,77.31010484695435,0.0037506847
16,-304.31039385,734,241664,6,1010.56,-2.6173875629901886,0.2,0.0003,0.8956847190856934,-0.00122921634465456,0.9506617188453674,21.610197067260742,1170,0.007666015625,104.32800760269166,0.004554659
16,-311.72616164,853,243712,7,1010.56,-2.6168699264526367,0.2,0.0003,0.8953790664672852,-0.002942272974178195,0.978974461555481,8.58850383758545,1180,0.018408203125,42.99350690841675,0.0023397333
16,-309.55155863999994,969,245760,8,1012.52,-2.6152553260326385,0.2,0.0003,0.893895149230957,-0.004728947294643149,0.9848418235778809,6.07965087890625,1190,0.0349609375,23.143617486953737,0.004874426
,,,,,,-2.6121919572353365,0.2,0.0003,0.8933894038200378,-0.0024019655713345854,0.8942018747329712,33.852577209472656,1200,0.041162109375,75.96641321182251,0.004344385
