time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/std,train/loss,train/n_updates,train/clip_fraction,train/value_loss
919552,16,1,386.56,225.36895126,124,,,,,,,,,,,
921600,16,2,387.41,225.00451698,249,-1.855026364326477,0.7179192304611206,-0.005114614189369604,0.2,0.0003,0.007558539,0.6386458277702332,32.44953918457031,4490,0.056494140625,57.58893356323242
923648,16,3,392.15,224.50660975,376,-1.8519052624702455,0.5339071750640869,-0.0034930270747281613,0.2,0.0003,0.007558806,0.6361858248710632,38.965030670166016,4500,0.05654296875,77.27579746246337
925696,16,4,393.72,224.54699422000002,497,-1.8435553014278412,0.6524912118911743,-0.004057286813622341,0.2,0.0003,0.006775382,0.6342766284942627,17.436418533325195,4510,0.055078125,57.127527189254764
927744,16,5,405.03,223.35560515,635,-1.8426555812358856,0.7334892153739929,-0.005378415947780013,0.2,0.0003,0.00766576,0.6349039077758789,23.50748634338379,4520,0.061767578125,58.2584753036499
929792,16,6,408.46,222.88000567,761,-1.8439718008041381,0.8223646879196167,-0.0027760147117078305,0.2,0.0003,0.0046145306,0.633990466594696,15.82568073272705,4530,0.053662109375,47.693717861175536
931840,16,7,400.05,226.64950781,895,-1.8409031122922896,0.41766631603240967,-0.005012880213325843,0.2,0.0003,0.0065504652,0.6338592767715454,31.420164108276367,4540,0.07109375,83.51010503768921
933888,15,8,400.15,226.82101533999997,1026,-1.8414009302854537,0.6692869663238525,-0.0027476147224660963,0.2,0.0003,0.0042136675,0.6341404318809509,5.260344982147217,4550,0.02919921875,24.860831880569457
,,,,,,-1.844488474726677,0.9235546588897705,-0.0032293259049765767,0.2,0.0003,0.0054026437,0.6367899179458618,1.6280401945114136,4560,0.048876953125,6.855716836452484
