time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/clip_fraction,train/std,train/clip_range
722944,119,17,1,242.19822597999996,334.31,,,,,,,,,,,
724992,259,15,2,242.4571783,334.68,15.482970833778381,-0.002648559105000459,0.9067227840423584,3530,0.0003,0.0030143382,-2.0076721906661987,4.490768909454346,0.02998046875,0.6745750904083252,0.2
727040,383,16,3,239.37840165,344.01,16.08362134695053,-0.005354627268388867,0.9429798126220703,3540,0.0003,0.005981545,-2.0016571640968324,5.6843342781066895,0.04921875,0.6709735989570618,0.2
729088,520,15,4,239.45210852999992,343.79,6.039080119132995,-0.004390970672830008,0.969104528427124,3550,0.0003,0.00948633,-1.9912780493497848,1.4699437618255615,0.078369140625,0.6682270765304565,0.2
731136,663,15,5,239.82395902,341.26,1.3343805938959121,0.0013789444812573493,0.9921441078186035,3560,0.0003,0.007654368,-1.9817113429307938,0.4201743006706238,0.151123046875,0.6675357818603516,0.2
733184,795,15,6,240.28231247999997,340.01,2.9857309117913244,0.012398003181442619,0.979789137840271,3570,0.0003,0.09503924,-1.9826701790094376,1.705746054649353,0.3046875,0.668878436088562,0.2
735232,943,15,7,240.72979112000004,337.12,1.211040635406971,0.0006141104735434055,0.9876718521118164,3580,0.0003,0.012735931,-1.982218751311302,0.4810698926448822,0.159814453125,0.6679797172546387,0.2
737280,1061,15,8,240.65920676999997,337.39,1.8041333436965943,-0.004407576593803242,0.9903956651687622,3590,0.0003,0.0062421425,-1.9758635073900224,0.6496787071228027,0.078662109375,0.6668615937232971,0.2
,,,,,,1.2661574944853782,-0.005725007015280425,0.9884021282196045,3600,0.0003,0.009813423,-1.9735668361186982,0.5047821998596191,0.09951171875,0.6655408143997192,0.2
