time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/n_updates,train/std,train/policy_gradient_loss
19,-286.9393046111111,107,1200.0,1,51200,,,,,,,,,,,
19,-286.9393046111111,210,1200.0,2,53248,-2.774230593442917,0.06767578125,1.215772271156311,0.0074925795,2.9522597908973696,0.3451007008552551,0.0003,0.2,250,0.9687137603759766,-0.007394865108653903
18,-271.89212552500004,329,1200.0,3,55296,-2.7731638133525847,0.053564453125,0.9584733843803406,0.004916198,2.1529794961214064,0.43140411376953125,0.0003,0.2,260,0.9656699895858765,-0.004008219292154535
18,-271.89212552500004,454,1200.0,4,57344,-2.7629881143569945,0.079150390625,2.3316144943237305,0.0068659647,5.069632738828659,0.5070135593414307,0.0003,0.2,270,0.9611878395080566,-0.006591357418801636
17,-267.6045365,576,1200.0,5,59392,-2.758668053150177,0.033056640625,2.068514585494995,0.0056556617,4.810707229375839,0.17842566967010498,0.0003,0.2,280,0.9632008671760559,-0.004748219886096194
18,-267.6045365,680,1200.0,6,61440,-2.7653800189495086,0.024853515625,3.022737979888916,0.0038484111,7.145941150188446,0.17817121744155884,0.0003,0.2,290,0.9648395776748657,-0.0026880736462771893
18,-267.6045365,784,1200.0,7,63488,-2.76599834561348,0.001513671875,3.482807159423828,0.0028686766,9.970162630081177,0.3845675587654114,0.0003,0.2,300,0.9644317626953125,-0.0009578127705026418
18,-268.2548069375,895,1200.0,8,65536,-2.764801585674286,0.00556640625,2.351954936981201,0.003195212,8.38334025144577,0.4678128957748413,0.0003,0.2,310,0.9637489318847656,-0.0006164483580505476
,,,,,,-2.7621852278709413,0.089892578125,2.6454834938049316,0.0099640265,6.4295684695243835,0.4871971607208252,0.0003,0.2,320,0.9615558981895447,-0.0049720538198016586
