rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/loss
397.9,804864,127,1,16,212.57458484,,,,,,,,,,,
388.72,806912,261,2,15,219.98301245000002,30.91792502403259,0.2,-1.9069728612899781,-0.0026417990098707377,0.8042542338371277,0.647858202457428,0.0003,3930,0.0047671674,0.04091796875,12.64694595336914
395.96,808960,381,3,16,218.95642352000002,35.76174275875091,0.2,-1.8969298154115677,-0.0039790042908862235,0.9113520383834839,0.6433967351913452,0.0003,3940,0.009817001,0.048876953125,16.863828659057617
401.88,811008,516,4,15,218.25285401000002,57.087692737579346,0.2,-1.8869947463274002,-0.0028061171411536633,0.8119311332702637,0.6432706713676453,0.0003,3950,0.014568225,0.08876953125,17.026811599731445
404.66,813056,649,5,15,217.76059678000001,28.41720404624939,0.2,-1.8902921855449677,-0.003407657807110809,0.937304675579071,0.6436190605163574,0.0003,3960,0.0057773264,0.047021484375,5.8291707038879395
408.07,815104,776,6,15,217.15525076999998,57.55373582839966,0.2,-1.8913516223430633,-0.003897666707052849,0.8345350027084351,0.6445363759994507,0.0003,3970,0.0044415863,0.03330078125,20.916688919067383
414.48,817152,899,7,15,216.38070014000002,50.51939582824707,0.2,-1.8929653346538544,-0.007219460542546585,0.8921859264373779,0.6449353694915771,0.0003,3980,0.005856609,0.048974609375,12.835952758789062
414.13,819200,1034,8,15,216.01160225999996,53.083521366119385,0.2,-1.8941920936107635,-0.00481323572457768,0.925674319267273,0.645799994468689,0.0003,3990,0.006556589,0.04169921875,18.620101928710938
,,,,,,25.759783697128295,0.2,-1.8962378799915314,-0.0037020233779912815,0.8604152202606201,0.645858883857727,0.0003,4000,0.005220406,0.05361328125,7.803874969482422
