time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance
346112,15,128,124.30361111999999,1,652.36,,,,,,,,,,,
348160,16,252,133.88309348,2,642.36,0.0003,0.8532337546348572,0.04423828125,0.2,1690,34.64943313598633,-0.003594898403389379,0.0065830867,73.90634717941285,-2.520357257127762,0.15572357177734375
350208,16,380,146.77543554,3,626.0,0.0003,0.8496568202972412,0.0240234375,0.2,1700,22.27945899963379,-0.002035829972010106,0.0037034852,59.75816535949707,-2.5165775954723357,0.4383191466331482
352256,16,494,152.00953802,4,617.78,0.0003,0.8470090627670288,0.032861328125,0.2,1710,21.50062370300293,-0.005751525657251478,0.0044788043,57.69435300827026,-2.507804137468338,0.5143628120422363
354304,16,619,161.65255968,5,609.68,0.0003,0.8454951047897339,0.041552734375,0.2,1720,23.140037536621094,-0.0047022387501783666,0.0055370927,67.16335544586181,-2.503396970033646,0.7252554893493652
356352,16,750,165.69548245000001,6,604.98,0.0003,0.8434712886810303,0.0779296875,0.2,1730,24.746875762939453,-0.006282657565316185,0.0070476485,73.13013782501221,-2.49935896396637,0.8633956909179688
358400,16,875,171.11896559000002,7,592.69,0.0003,0.8418881297111511,0.04970703125,0.2,1740,10.956546783447266,-0.0031240588665241375,0.005727231,27.653830099105836,-2.494815635681152,0.9257790446281433
360448,16,992,175.41900224,8,585.3,0.0003,0.8424246311187744,0.06201171875,0.2,1750,11.7523193359375,-0.004971187573391944,0.0071926424,28.843404054641724,-2.4926822543144227,0.7820019721984863
,,,,,,0.0003,0.8400512933731079,0.0638671875,0.2,1760,22.98419189453125,-0.006012503692181781,0.005844187,67.9352370262146,-2.4924962341785433,0.643479585647583
