time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/policy_gradient_loss
1,-168.04367129999994,107,165888,1069.54,19,,,,,,,,,,,
2,-165.20216898,221,167936,1066.28,18,0.0003,9.432470560073853,0.45682138204574585,810,0.0484375,3.2354700565338135,0.9121136665344238,0.0059157377,-2.6557768166065214,0.2,-0.005116627091774717
3,-165.06602195,337,169984,1066.28,18,0.0003,59.71392555236817,0.9525242447853088,820,0.06455078125,19.612154006958008,0.9110869765281677,0.005895588,-2.6520164132118227,0.2,-0.0011023027298506349
4,-153.59468682,459,172032,1052.99,17,0.0003,15.442693257331848,0.9842846989631653,830,0.02119140625,5.849294185638428,0.9094583988189697,0.0042013973,-2.650057941675186,0.2,-0.0036666869884356855
5,-150.75107925999998,566,174080,1051.56,18,0.0003,87.63314981460572,0.2825351357460022,840,0.048388671875,40.00611877441406,0.9094226360321045,0.007710667,-2.6470583021640777,0.2,-0.0038216000073589386
6,-146.20288446000004,690,176128,1041.88,17,0.0003,36.539441394805905,0.9556114077568054,850,0.028466796875,14.348937034606934,0.9096370935440063,0.004329405,-2.6479762971401213,0.2,-0.0024537383607821537
7,-146.40017981,802,178176,1038.83,17,0.0003,62.069595432281496,0.9425724148750305,860,0.019970703125,32.033203125,0.9100344181060791,0.0047091264,-2.6483754992485045,0.2,-0.003540093929041177
8,-144.5155606,919,180224,1035.86,17,0.0003,60.93356990814209,0.9443150162696838,870,0.00595703125,26.53972053527832,0.9100551605224609,0.0018456855,-2.6489816546440124,0.2,-0.001034834235906601
,,,,,,0.0003,35.412077856063846,0.9494982361793518,880,0.0294921875,11.729567527770996,0.9091888666152954,0.0051577548,-2.6484261035919188,0.2,-0.0028953112967428753
