rollout/mean_return_100,time/iterations,rollout/collision_rate_100,time/fps,time/total_timesteps,rollout/success_rate_100,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/std,train/clip_range,train/clip_fraction,eval/success_rate,eval/median_return,eval/collision_rate,eval/outside_rate,eval/return_std,eval/mean_minimum_true_cpa_m,eval/mean_length_steps,eval/mean_final_goal_distance_m,eval/mean_return
-59.94611597420568,1,0.5,15,512,0.0,33,,,,,,,,,,,,,,,,,,,,
-33.07515747506986,2,0.25,15,1024,0.0,64,-0.0169905424118042,94.34654998779297,-0.0038575508631765844,10,-2.8378832817077635,0.0052128956,0.0003,196.6094223022461,1.0000137090682983,0.2,0.0119140625,,,,,,,,,
-27.82084501781636,3,0.2,16,1536,0.0,95,-0.07524371147155762,0.045593954622745514,-0.004964785045012831,20,-2.837970805168152,0.009219721,0.0003,0.132992921769619,0.9999434947967529,0.2,0.034765625,,,,,,,,,
-21.755714201653348,4,0.14285714285714285,15,2048,0.0,128,-0.9114087820053101,0.015678109601140022,-0.0064801749307662245,30,-2.835420775413513,0.009740749,0.0003,0.06432296223938465,0.9971215724945068,0.2,0.04765625,,,,,,,,,
-20.042048261078023,5,0.125,15,2560,0.0,162,0.5784882307052612,0.03340473398566246,-0.0036114207468926907,40,-2.8291831970214845,0.010797951,0.0003,0.09131921231746673,0.9938181042671204,0.2,0.0458984375,,,,,,,,,
-17.207951748192507,6,0.1,15,3072,0.0,195,-1.211409568786621,-0.005649045575410128,-0.008205828536301852,50,-2.8233828783035277,0.017699756,0.0003,0.019252954237163066,0.9920209646224976,0.2,0.123828125,,,,,,,,,
-15.502536449929808,7,0.08333333333333333,15,3584,0.0,227,-0.22712981700897217,0.02898099645972252,-0.003709268197417259,60,-2.820887541770935,0.0066297543,0.0003,0.08951261341571808,0.991002082824707,0.2,0.0341796875,,,,,,,,,
-28.09146742406301,8,0.2,15,4096,0.0,257,0.32209640741348267,0.01937251351773739,-0.0021680882200598717,70,-2.8184094190597535,0.0041551944,0.0003,0.05428359694778919,0.9894700050354004,0.2,0.00703125,,,,,,,,,
-25.567217861219675,9,0.17647058823529413,15,4608,0.0,288,0.0026358962059020996,192.6259307861328,-0.002002994529902935,80,-2.815410113334656,0.00043853035,0.0003,394.64720764160154,0.9884048700332642,0.2,0.0,,,,,,,,,
-33.899172260126086,10,0.25,15,5120,0.0,320,0.30453723669052124,0.08863434940576553,-0.0014196927659213543,90,-2.8140206336975098,0.0014021946,0.0003,0.2872984498739243,0.9881192445755005,0.2,0.0,,,,,,,,,
-32.63374520918486,11,0.23809523809523808,16,5632,0.0,351,0.018259167671203613,181.55482482910156,-0.00018160967156291007,100,-2.813813877105713,0.0022174758,0.0003,367.6223510742187,0.9881353378295898,0.2,0.000390625,,,,,,,,,
-33.88629665512612,12,0.25,16,6144,0.0,381,-3.4729628562927246,0.03628752380609512,-0.006541032250970602,110,-2.813357949256897,0.0126663,0.0003,0.11844458505511284,0.9873671531677246,0.2,0.073828125,,,,,,,,,
-38.18147055825887,13,0.2692307692307692,16,6656,0.0,414,0.02806401252746582,106.90251922607422,0.0014428201131522656,120,-2.81134934425354,0.0016077771,0.0003,218.56578369140624,0.9865397810935974,0.2,0.0,,,,,,,,,
-36.003298651234,14,0.25,16,7168,0.0,445,0.018754124641418457,75.45416259765625,-0.0005696592852473259,130,-2.8102641820907595,0.00016247132,0.0003,153.451171875,0.986283540725708,0.2,0.0,,,,,,,,,
-34.94801936523627,15,0.2413793103448276,16,7680,0.0,477,0.6125003099441528,0.05747392028570175,-0.0004509709309786558,140,-2.809811305999756,0.00011298829,0.0003,0.2956059880554676,0.9859333038330078,0.2,0.0,,,,,,,,,
-33.139504294836904,16,0.22580645161290322,16,8192,0.0,510,0.6373491287231445,0.1416665017604828,-0.0037467726971954106,150,-2.809191918373108,0.006443266,0.0003,0.3315003335475922,0.9860728979110718,0.2,0.017578125,,,,,,,,,
-34.057772727161314,17,0.23529411764705882,16,8704,0.0,541,-0.2647421360015869,0.12090740352869034,-0.003942421497777104,160,-2.8097995042800905,0.009522507,0.0003,0.3101442039012909,0.9860928058624268,0.2,0.0310546875,,,,,,,,,
-33.28394625997273,18,0.22857142857142856,16,9216,0.0,572,0.043452441692352295,97.3967514038086,-0.0010922568151727318,170,-2.8091382026672362,0.0034780325,0.0003,197.86688079833985,0.9857423305511475,0.2,0.00390625,,,,,,,,,
