time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/entropy_loss
1,509952,362.31,16,238.04654306,125,,,,,,,,,,,
2,512000,363.29,15,238.36204369000006,257,-0.0028006028005620465,0.7408392429351807,0.0003,0.9050191044807434,6.4331467092037204,2490,0.004546442,0.034765625,0.2,2.141354560852051,-2.227902740240097
3,514048,363.19,16,238.59150728,370,-0.003996385459322483,0.7408231496810913,0.0003,0.9677721261978149,4.510465121269226,2500,0.012783782,0.0873046875,0.2,1.483614206314087,-2.2277251064777372
4,516096,376.45,16,236.53383994999996,503,-0.00187717427033931,0.7415559887886047,0.0003,0.8195613622665405,66.19669113159179,2510,0.0038949244,0.058837890625,0.2,19.287551879882812,-2.2274991452693937
5,518144,378.01,16,236.56876006000002,634,-0.003286037110956386,0.7395672798156738,0.0003,0.8971246480941772,61.69273796081543,2520,0.0045589264,0.03310546875,0.2,31.306432723999023,-2.2280119717121125
6,520192,377.78,16,236.55055858000003,762,-0.003730111010372639,0.7376989126205444,0.0003,0.6443473696708679,43.86834216117859,2530,0.0036281883,0.032763671875,0.2,16.447912216186523,-2.221301144361496
7,522240,383.44,16,235.37983390999997,886,-0.003331403559423052,0.7371236085891724,0.0003,0.9393967986106873,44.47722048759461,2540,0.004752139,0.041650390625,0.2,26.067623138427734,-2.218261480331421
8,524288,382.37,15,235.62622639,1030,-0.006812834058655426,0.738312840461731,0.0003,0.940319299697876,18.624872279167175,2550,0.008346036,0.086376953125,0.2,6.827753067016602,-2.2190028071403503
,,,,,,-0.0028789581439923493,0.7353291511535645,0.0003,0.9412445425987244,8.675064945220948,2560,0.0067925574,0.03857421875,0.2,3.344572067260742,-2.2183151125907896
