"site","zone","timestamp","latitude_deg","longitude_deg","model_timestamp","model_grid_id","distance_m","time_delta_s","observed_east_mps","observed_north_mps","rtofs_east_mps","rtofs_north_mps","observed_speed_mps"
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-123.30140686035156,"2026-07-13T00:00:00Z","rtofs:Y376,X433",2697.3388647485094,0,-0.17000000178813934,-0.05999999865889549,0.0063048130832612514,-0.193628191947937,0.18027756501305103
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-123.23894500732422,"2026-07-13T00:00:00Z","rtofs:Y376,X434",3951.5653296348237,0,-0.15000000596046448,-0.07999999821186066,0.009897729381918907,-0.14724546670913696,0.17000000441775606
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-123.17647552490234,"2026-07-13T00:00:00Z","rtofs:Y376,X434",2830.81900609734,0,-0.15000000596046448,-0.09000000357627869,0.009897729381918907,-0.14724546670913696,0.17492856379639532
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-123.114013671875,"2026-07-13T00:00:00Z","rtofs:Y376,X435",1993.178374601432,0,-0.17000000178813934,-0.10000000149011612,0.02743084542453289,-0.03441660851240158,0.19723083152993756
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-123.05155181884766,"2026-07-13T00:00:00Z","rtofs:Y376,X436",2175.2051737596553,0,-0.17000000178813934,-0.11999999731779099,0.05167823284864426,0.07534903287887573,0.20808652038091566
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.98908233642578,"2026-07-13T00:00:00Z","rtofs:Y376,X437",3215.8933869443604,0,-0.1899999976158142,-0.12999999523162842,0.05283312872052193,0.08247274905443192,0.2302172840041182
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.92662048339844,"2026-07-13T00:00:00Z","rtofs:Y376,X437",3522.5492840946768,0,-0.1899999976158142,-0.12999999523162842,0.05283312872052193,0.08247274905443192,0.2302172840041182
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.86415100097656,"2026-07-13T00:00:00Z","rtofs:Y376,X438",2379.7193428623336,0,-0.18000000715255737,-0.14000000059604645,0.04173377901315689,0.03155573084950447,0.22803509103165176
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.80168914794922,"2026-07-13T00:00:00Z","rtofs:Y376,X439",1926.9973999436404,0,-0.1599999964237213,-0.1599999964237213,0.0690128356218338,-0.019435234367847443,0.2262741649220734
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.73921966552734,"2026-07-13T00:00:00Z","rtofs:Y376,X440",2568.569832417033,0,-0.14000000059604645,-0.14000000059604645,0.05438624694943428,-0.04740343242883682,0.1979898995751703
