time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/learning_rate
132,493568,339.68,1,241.9296339,15,,,,,,,,,,,
267,495616,339.71,2,242.07544461,15,0.011239584,-2.238447034358978,-0.005051464698044583,0.9626227021217346,0.2,4.834965687990189,1.4015700817108154,0.7427594065666199,2410,0.118310546875,0.0003
385,497664,348.62,3,239.71411883000002,15,0.005331028,-2.2322321772575378,-0.003216478868853301,0.838871955871582,0.2,53.80771203041077,12.038288116455078,0.7418355941772461,2420,0.059716796875,0.0003
520,499712,354.76,4,239.04579663,15,0.007843904,-2.230374950170517,-0.005934080871520564,0.8149438500404358,0.2,60.841083431243895,18.623756408691406,0.7406973242759705,2430,0.060986328125,0.0003
644,501760,354.85,5,238.97742599,15,0.0055558467,-2.2243994235992433,-0.004514316318091005,0.8629260063171387,0.2,23.502422070503236,6.524094104766846,0.7375682592391968,2440,0.053857421875,0.0003
788,503808,361.98,6,237.83624328999997,15,0.0040316856,-2.218888407945633,-0.003279308835044503,0.9127739071846008,0.2,36.46546058654785,9.232320785522461,0.7376629710197449,2450,0.04052734375,0.0003
909,505856,362.01,7,238.02040033,15,0.0054536154,-2.2210444152355193,-0.0028441399219445882,0.9326611161231995,0.2,30.118847727775574,7.450034141540527,0.7377195954322815,2460,0.05146484375,0.0003
1051,507904,362.99,8,237.87750133999998,15,0.003099188,-2.2203600883483885,-0.001655634742928669,0.8405318260192871,0.2,73.37343454360962,33.66707229614258,0.7373166084289551,2470,0.068115234375,0.0003
,,,,,,0.007750938,-2.222191631793976,-0.004561556311091408,0.9673944115638733,0.2,46.043378591537476,14.943815231323242,0.7399448156356812,2480,0.080419921875,0.0003
