rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/entropy_loss,train/std,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates
-259.57633433333336,1,1200.0,18432,117,17,,,,,,,,,,,
-259.57633433333336,2,1200.0,20480,238,17,1.2136174440383911,-2.8068021178245544,0.9856088161468506,3.1254278779029847,0.0034770109,-0.7913227081298828,-0.0030637023388408124,0.033447265625,0.0003,0.2,90
-254.23129462500003,3,1200.0,22528,367,16,1.2578668594360352,-2.8107256472110747,0.9862188100814819,3.218153381347656,0.0032568276,-0.04683423042297363,-0.0018547650834079832,0.02119140625,0.0003,0.2,100
-254.23129462500003,4,1200.0,24576,489,16,1.8967105150222778,-2.8058700561523438,0.9804571270942688,4.177075415849686,0.00339593,-0.0038080215454101562,-0.0017355158866848796,0.010205078125,0.0003,0.2,110
-248.78879145000002,5,1200.0,26624,611,16,0.937152087688446,-2.78754198551178,0.9678290486335754,2.199094131588936,0.007749045,0.008338570594787598,-0.005676632601534948,0.057080078125,0.0003,0.2,120
-248.78879145000002,6,1200.0,28672,731,16,3.113837480545044,-2.7697110891342165,0.9677952527999878,6.510412061214447,0.004007057,0.07444071769714355,-0.002337875316152349,0.01826171875,0.0003,0.2,130
-248.78879145000002,7,1200.0,30720,855,16,3.098759174346924,-2.7738478779792786,0.9683386087417603,7.263273465633392,0.0036697919,-0.03269374370574951,-0.002691929624415934,0.0248046875,0.0003,0.2,140
-246.666220875,8,1200.0,32768,969,16,3.926510810852051,-2.7723018527030945,0.966983437538147,7.981309294700623,0.005918447,0.13776832818984985,-0.0031698611681349577,0.02685546875,0.0003,0.2,150
,,,,,,2.3846938610076904,-2.7705786287784577,0.9675957560539246,5.808315694332123,0.0028152005,0.03844106197357178,-0.0031932410376612095,0.011572265625,0.0003,0.2,160
