time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate
111,-300.02661068000003,18,247808,1,1005.49,,,,,,,,,,,
219,-293.44964839999994,18,249856,2,1000.81,1210,-0.0024317735427757726,37.988450622558595,0.005224609375,0.7826346158981323,-2.612297850847244,0.2,0.002938491,6.791268825531006,0.8937483429908752,0.0003
345,-294.01790044999996,17,251904,3,993.05,1220,-0.004152016487205401,52.08298950195312,0.039453125,0.9690607190132141,-2.6129045844078065,0.2,0.005296015,17.108985900878906,0.8937051892280579,0.0003
470,-294.01790044999996,17,253952,4,993.05,1230,-0.0018163306813221425,116.18596439361572,0.008740234375,0.9607099890708923,-2.6122853100299834,0.2,0.0029528309,46.09585189819336,0.8932223320007324,0.0003
593,-328.34596855999996,17,256000,5,1002.83,1240,-0.005489599145948887,18.946082210540773,0.0361328125,0.8087358474731445,-2.6118071615695952,0.2,0.0048905867,6.876570224761963,0.8935970067977905,0.0003
709,-322.8948317,17,258048,6,996.52,1250,-0.003527634881902486,24.62088441848755,0.03291015625,0.9931606650352478,-2.61307008266449,0.2,0.0050163157,8.65318775177002,0.8941567540168762,0.0003
837,-315.09555322999995,17,260096,7,996.52,1260,-0.0035060376656474547,96.31452102661133,0.036376953125,0.9117273688316345,-2.613850921392441,0.2,0.0072669545,35.39442443847656,0.8939881920814514,0.0003
954,-312.03475684000006,17,262144,8,992.09,1270,-0.0037823378952452913,35.018402671813966,0.039599609375,0.9858747720718384,-2.613045036792755,0.2,0.0075352574,10.219306945800781,0.8938900232315063,0.0003
,,,,,,1280,-0.003215190471382812,118.51358203887939,0.048583984375,0.8379235863685608,-2.613267648220062,0.2,0.008650199,44.40143966674805,0.8940289616584778,0.0003
